"Tag","Range","DEF","","","","Beam","","","","Physical","","","","Special","","",""
"","MAP","","AGE-2 Artimes","Freedom EX","Grand Master","","","","Calibarn","","","","","","Nightingale EX","",""
"","","","","Beguir-Pente","","","","","","","","","","","","",""
"","","","","Xeku Zwei","","","","","","","","","","","","",""
"LF","5 - 6 Range","Providence EX","Red Gundam","Nu EX","","AGE-2 Normal EX","ReZEL","","Regnant","Great Zeong EX","Hildolfr","Char's Zaku II (ORIGIN)","","Nu EX","","Providence EX",""
"","","Force Impulse EX","Zeta","AGE-2 Normal EX","","Pharact (S2) EX","Perfect Strike","","","","","","","","","Force Impulse EX",""
"","","","Qubeley","Khronos","","","","","","","","","","","","Great Zeong EX",""
"","","","Airmaster Burst","","","","","","","","","","","","","G-Falcon GX",""
"","","","Freedom METEOR","","","","","","","","","","","","","Sazabi",""
"","4 Range","","Beaggai","G-Falcon Airmaster","Hildolfr","","GQuuuuuuX","G-Falcon GX","Qubeley","","Efreet","Dantalion T-Booster","","","","Throne Eins Turbulenz",""
"","","","Turn A","Guel's Dilanza","","","AGE-1 Normal","Arios GNHW/M","Airmaster Burst","","","","","","","Blue Frame Second L",""
"","","","","Mk-II Prototype","","","","Geara Zulu (Ellic)","","","","","","","","Khronos",""
"","","","","AGE-1 Spallow","","","","","","","","","","","","Arios GNHW/M",""
"","3 Range","","","Sazabi","","","","","","","","AGE-1 Spallow","Zeta","","","",""
"","","","","Char's Zaku II (ORIGIN)","","","","","","","","","Perfect Strike","","","",""
"","1 - 2 Range","","","Geara Zulu (Ellic)","Efreet","","","Guel's Dilanza","","","","Blue Frame Second L","Red Gundam","","","",""
"","","","","Dantalion T-Booster","GQuuuuuuX","","","Mk-II Prototype","","","","","Beaggai","","","",""
"","","","","","ReZEL","","","","","","","","Turn A","","","",""
"","MAP","Throne Eins Turbulenz","Regnant","Pharact (S2) EX","","","","","","","","","","","","G-Falcon Airmaster",""
"TaN","5 - 6 Range","Monster Black Dragon EX","Messer Type-F","Big-Rang EX","Seravee GNHW/B","","Hyaku Shiki","Halphas EX","","","","","","Halphas EX","","F91","Strike Freedom"
"","","Narrative C-Packs","","GP02A EX","","","FA Mk-III","Zeong","","","","","","Strike Noir EX","","",""
"","","","","Unicorn Ver. TWC","","","Infinite Justice (METEOR)","","","","","","","","","",""
"","","","","","","","Seravee GNHW/B","","","","","","","","","",""
"","4 Range","","Xeku Eins","Full Armor (TB)","Narrative B-Packs","Big-Rang EX","F90 Unit 2","","","GP02A EX","Gusion Rebake","Monster Black Dragon EX","","","Strike Rouge IWSP","Narrative C-Packs",""
"","","","Strike Freedom","F91","FA Mk-III","The-O EX","","","","","","Heavyarms Custom EW","","","Narrative B-Packs","Heavyarms Custom EW",""
"","","","","Zeong","","","","","","","","","","","","X Astray",""
"","3 Range","","","","","","","","","","","","F90 Unit 2","","","The-O EX",""
"","1 - 2 Range","","","","Strike Rouge IWSP","","","Unicorn Ver. TWC","Xeku Eins","","","","","","","",""
"","","","","","Gusion Rebake","","","","Messer Type-F","","","","","","","",""
"","MAP","","Strike Noir EX","X Astray","Hyaku Shiki","","","Full Armor (TB)","","","","","","","","",""
"","","","","","Infinite Justice (METEOR)","","","","","","","","","","","",""
"Specialised","5 - 6 Range","Aerial EX","Airmaster Burst","AGE-2 Normal EX","Dynames","Virsago EX","Wing Zero","Halphas EX","","Build Strike EX","Reginlaze (Iok)","Altron (EW) EX","","Altron (EW) EX","Ple's Qubeley","",""
"","","Monster Black Dragon EX","","Khronos","","AGE-2 Normal EX","Seravee GNHW/B","","","Barbatos Limiter Off","","Psycho Zaku EX","","Psycho Zaku EX","","",""
"","","","","","","","","","","","","Char's Zaku II (ORIGIN)","","Halphas EX","","",""
"","","","","","","","","","","","","","","Urube","","",""
"","4 Range","","Johnny's Gelgoog","Satan","Blaze Zaku (Dearka)","","Ingrid's Gaplant","Aerial EX","Ple's Qubeley","Astaroth Rinascimento EX","Mack Knife","Monster Black Dragon EX","","","Gaddess","Khronos",""
"","","","Lfrith Thorn","Guel's Dilanza","Wing Zero","","Rasiel","Geara Zulu (Ellic)","AGE-2 Artimes","","Shadow","Heavyarms Custom EW","","","Dynames","Heavyarms Custom EW",""
"","","","Gunner Zaku (Dearka)","Gusion Full City","Seravee GNHW/B","","Gunner ZAKU (Lunamaria)","Wing Zero (EW)","Airmaster Burst","","Barbatos Adapt","Satan","","","","Arios GNHW/M",""
"","","","Beaggai","","","","","Arios GNHW/M","","","Gusion Rebake","","","","","",""
"","3 Range","","ZAKU (Concert)","Char's Zaku II (ORIGIN)","Mack Knife","","Blaze Zaku (Dearka)","","Johnny's Gelgoog","","","","","","","",""
"","","","","","Gunner ZAKU (Lunamaria)","","","","Gunner Zaku (Dearka)","","","Char's Zaku II (ORIGIN)","","","","",""
"","1 - 2 Range","","","Astaroth Rinascimento EX","Gusion Rebake","","","Guel's Dilanza","Lfrith Thorn","","","Gusion Full City","Beaggai","","","","Shadow"
"","","","","Urube","Rasiel","","","","Gaddess","","","","","","","",""
"","","","","Geara Zulu (Ellic)","Ingrid's Gaplant","","","","","","","","","","","",""
"","MAP","","AGE-2 Artimes","Wing Zero (EW)","Reginlaze (Iok)","","","Build Strike EX","","","","","","","","Virsago EX",""
"Test Type","5 - 6 Range","Tallgeese III EX","FAZZ","GP02A EX","","Pharact (S2) EX","FA Mk-III","Tallgeese III EX","","","Hildolfr","","","Strike Noir EX","","G-Falcon GX",""
"","","F90 A.D.S. Type EX","Banshee Norn","Big-Rang EX","","","","Aquarius","","","","","","","","F91",""
"","","","Atlas","Perfect Zeong","","","","Blue Frame (Lohengrin)","","","","","","","","",""
"","4 Range","Calibarn","Xeku Eins","Mk-II Prototype","Hildolfr","Big-Rang EX","Zero Shiki","G-Falcon GX","Banshee Norn","GP02A EX","Gremory","F90 A.D.S. Type EX","","","Alyzeus","Throne Eins Turbulenz",""
"","","","","G-Falcon Airmaster","Alyzeus","","GQuuuuuuX","Murasame","","","Pale Rider","Dantalion T-Booster","","","Narrative B-Packs","X Astray",""
"","","","","F91","FA Mk-III","","F90 Unit 2","","","","","Xeku Zwei","","","","",""
"","","","","","Narrative B-Packs","","","","","","","Blue Frame (Lohengrin)","","","","",""
"","","","","","","","","","","","","Murasame","","","","",""
"","3 Range","","","Dantalion T-Booster","","","","","","Aquarius","","Perfect Zeong","F90 Unit 2","","","",""
"","1 - 2 Range","","","","Pale Rider","","","Mk-II Prototype","Xeku Eins","","","","Zero Shiki","","","",""
"","","","","","Gremory","","","","Atlas","","","","","","","",""
"","","","","","GQuuuuuuX","","","","","","","","","","","",""
"","MAP","Throne Eins Turbulenz","Strike Noir EX","Pharact (S2) EX","","","","","Calibarn","","","","","","","G-Falcon Airmaster",""
"","","","","X Astray","","","","","FAZZ","","","","","","","",""
"","","","","Xeku Zwei","","","","","","","","","","","","",""
"Ace","5 - 6 Range","Unicorn Awakened EX","Kimaris Vidar","","","","Perfect Strike","Phoenix EX","","Phoenix EX","","","","","","Force Impulse EX","Strike Freedom"
"","","Force Impulse EX","GM Sniper II","","","","","","","","","","","","","",""
"","","","00 Raiser","","","","","","","","","","","","","",""
"","","","Red Gundam","","","","","","","","","","","","","",""
"","4 Range","","Shining","AGE-1 Spallow","Advanced GN-X","Freedom EX","AGE-1 Normal","","","","","","","","Bolt","Blue Frame Second L","00 Raiser"
"","","","Turn A","Full Armor (TB)","","","","","","","","","","","","","Kimaris Vidar"
"","","","Rising Freedom","","","","","","","","","","","","","",""
"","","","Strike Freedom","","","","","","","","","","","","","",""
"","3 Range","","","","","","Advanced GN-X","","Rising Freedom","","","AGE-1 Spallow","Perfect Strike","","","",""
"","1 - 2 Range","","","","","","","","GM Sniper II","","","Blue Frame Second L","Red Gundam","","","",""
"","","","","","","","","","","","","","Turn A","","","",""
"","","","","","","","","","","","","","Bolt","","","",""
"","MAP","","","Freedom EX","","","","Full Armor (TB)","","","","","","","","Unicorn Awakened EX","Shining"
"Commander","5 - 6 Range","Providence EX","Messer Type-F","","","Sinanju EX","ReZEL","Michaelis","Rafflesia","","","Sinanju EX","","","","Providence EX",""
"","","","Rafflesia","","","Beguir-Pente","Hyaku Shiki","","","","","","","","","Sazabi",""
"","","","","","","","","","","","","","","","","Age-1 Flat",""
"","4 Range","","Ez8","Amatsu Mina","","","Ez8 High Mobility","G-Xiphos","","","Zudah Unit 1","","Ez8","","Strike Rouge IWSP","",""
"","","","","","","","","","","","Efreet","","","","","",""
"","","","","","","","","","","","Berga-Giros (Black Vanguard)","","","","","",""
"","3 Range","","","Sazabi","","","","","","","","","","","","Amatsu Mina",""
"","","","","Age-1 Flat","","","","","","","","","","","","",""
"","1 - 2 Range","","","G-Xiphos","Ez8 High Mobility","","","","Messer Type-F","","","","","","","Michaelis",""
"","","","","","Zudah Unit 1","","","","","","","","","","","",""
"","","","","","Efreet","","","","","","","","","","","",""
"","","","","","ReZEL","","","","","","","","","","","",""
"","","","","","Strike Rouge IWSP","","","","","","","","","","","",""
"","MAP","","","Beguir-Pente","Berga-Giros (Black Vanguard)","","","","","","","","","","","",""
"","","","","","Hyaku Shiki","","","","","","","","","","","",""
"Newtype","5 - 6 Range","Le Cygne EX","Zeta III","Nu EX","Qubeley (ZZ)","Nightingale EX","Bertigo","Zeong","","Great Zeong EX","","","","Nu EX","","Great Zeong EX",""
"","","Zeta III P2","Zeta","Unicorn Ver. TWC","","","","","","","","","","","","Kshatriya Repaired",""
"","","Narrative C-Packs","Qubeley","","","","","","","","","","","","","",""
"","4 Range","","","Zeong","","The-O EX","","","Qubeley","","","","","","","Zeta III P2",""
"","","","","","","","","","","","","","","","","Narrative C-Packs",""
"","3 Range","","","","Bertigo","","","","","","","Kshatriya Repaired","Zeta","","Qubeley (ZZ)","The-O EX",""
"","1 - 2 Range","","","","","","","Unicorn Ver. TWC","Zeta III","","","","","","","",""
"","MAP","","","","","","","Le Cygne EX","","","","","","","Nightingale EX","",""
"Large Machine","5 - 6 Range","","Freedom METEOR","","","","Infinite Justice (METEOR)","Beta Azieru","Regnant","","Grand Master","","","","","",""
"","","","","","","","","GN Arms Type-D","","","","","","","","",""
"","4 Range","","","","","","","","","","","GN Arms Type-D","","Beta Azieru","Destroy","",""
"","3 Range","","","","","","","","","","","","","","","",""
"","1 - 2 Range","","","","","","","","","","","","","","","",""
"","MAP","","Regnant","","Destroy","","","","","","","","","","","",""
"","","","","","Grand Master","","","","","","","","","","","",""
"","","","","","Infinite Justice (METEOR)","","","","","","","","","","","",""
"Shippujinrai","5 - 6 Range","F90 A.D.S. Type EX","00 Raiser","Nu EX","Dynames","Sinanju EX","","Halphas EX","","","","Altron (EW) EX","","Altron (EW) EX","","",""
"","","","","","","","","Zeong","","","","Sinanju EX","","Nu EX","","",""
"","","","","","","","","","","","","","","Halphas EX","","",""
"","4 Range","","","Zeong","Alyzeus","","F90 Unit 2","Murasame","","","Barara's Mack Knife","F90 A.D.S. Type EX","","","Dynames","Throne Eins Turbulenz","00 Raiser"
"","","","","","","","","","","","Efreet","Murasame","","","Alyzeus","",""
"","","","","","","","","","","","","Xeku Zwei","","","Bolt (Super Mode)","",""
"","3 Range","","ZAKU (Concert)","","Barara's Mack Knife","","","","","","","","F90 Unit 2","","","",""
"","1 - 2 Range","","","","Efreet","","","","","","","","Bolt (Super Mode)","","","",""
"","MAP","Throne Eins Turbulenz","","Xeku Zwei","","","","","","","","","","","","",""
"Tenacious","5 - 6 Range","Tallgeese III EX","Rafflesia","Perfect Zeong","","Pharact (S2) EX","Wing Zero","Tallgeese III EX","Regnant","Great Zeong EX","","","","Strike Noir EX","","Great Zeong EX",""
"","","Monster Black Dragon EX","Atlas","Unicorn Ver. TWC","","Nightingale EX","Bertigo","Wing Zero (EW)","Rafflesia","","","","","","","Sazabi",""
"","","Narrative C-Packs","Messer Type-F","","","","","","","","","","","","","F91",""
"","4 Range","","Johnny's Gelgoog","F91","Wing Zero","","","","","","Gremory","Monster Black Dragon EX","","","","Narrative C-Packs",""
"","","","","","","","","","","","","Heavyarms Custom EW","","","","Heavyarms Custom EW",""
"","3 Range","","","Sazabi","Bertigo","","","","Johnny's Gelgoog","","","Perfect Zeong","","","","",""
"","1 - 2 Range","","","","Gremory","","","Unicorn Ver. TWC","Messer Type-F","","","","","","","",""
"","","","","","","","","","Atlas","","","","","","","",""
"","MAP","","Strike Noir EX","Pharact (S2) EX","","","","","","","","","","","Nightingale EX","",""
"","","","Regnant","Wing Zero (EW)","","","","","","","","","","","","",""
"Mono-Eye","5 - 6 Range","","Messer Type-F","Big-Rang EX","","Sinanju EX","Bertigo","Beta Azieru","","Great Zeong EX","Hildolfr","Sinanju EX","","Psycho Zaku EX","","Great Zeong EX",""
"","","","","Perfect Zeong","","Nightingale EX","","Zeong","","","","Psycho Zaku EX","","","","Sazabi",""
"","","","","","","","","","","","","Char's Zaku II (ORIGIN)","","","","Kshatriya Repaired",""
"","4 Range","","Johnny's Gelgoog","Zeong","Blaze Zaku (Dearka)","Big-Rang EX","Ingrid's Gaplant","Geara Zulu (Ellic)","","","Zudah Unit 1","","","Beta Azieru","","",""
"","","","Gunner Zaku (Dearka)","","Hildolfr","The-O EX","Gunner ZAKU (Lunamaria)","","","","Efreet","","","","","",""
"","","","Xeku Eins","","","","","","","","","","","","","",""
"","3 Range","","ZAKU (Concert)","Sazabi","Bertigo","","Blaze Zaku (Dearka)","","Johnny's Gelgoog","","","Kshatriya Repaired","","","","The-O EX",""
"","","","","Char's Zaku II (ORIGIN)","Gunner ZAKU (Lunamaria)","","","","Gunner Zaku (Dearka)","","","Perfect Zeong","","","","",""
"","1 - 2 Range","","","Geara Zulu (Ellic)","Zudah Unit 1","","","","Messer Type-F","","","","","","","",""
"","","","","","Ingrid's Gaplant","","","","Xeku Eins","","","","","","","",""
"","","","","","Efreet","","","","","","","","","","","",""
"","MAP","","","","","","","","","","","","","","Nightingale EX","",""
"Rival","5 - 6 Range","Providence EX","Banshee Norn","GP02A EX","Qubeley (ZZ)","Virsago EX","Infinite Justice (METEOR)","Michaelis","","","","Altron (EW) EX","","Altron (EW) EX","","Providence EX",""
"","","Monster Black Dragon EX","Kimaris Vidar","Khronos","","Sinanju EX","","Zeong","","","","Sinanju EX","","Psycho Zaku EX","","Sazabi",""
"","","","Atlas","Perfect Zeong","","Nightingale EX","","Blue Frame (Lohengrin)","","","","Psycho Zaku EX","","","","",""
"","4 Range","","","Satan","Alyzeus","The-O EX","","","Banshee Norn","GP02A EX","Efreet","Monster Black Dragon EX","","","Alyzeus","Khronos","Kimaris Vidar"
"","","","","Zeong","","","","","","","","Satan","","","Bolt","",""
"","","","","Guel's Dilanza","","","","","","","","Xeku Zwei","","","","",""
"","","","","Full Armor (TB)","","","","","","","","Dantalion T-Booster","","","","",""
"","","","","Amatsu Mina","","","","","","","","Blue Frame (Lohengrin)","","","","",""
"","3 Range","","","Sazabi","","","","","","","","Perfect Zeong","","","Qubeley (ZZ)","The-O EX",""
"","","","","","","","","","","","","","","","","Amatsu Mina",""
"","1 - 2 Range","","","Dantalion T-Booster","Efreet","","","Guel's Dilanza","Atlas","","","","Bolt","","","Michaelis",""
"","MAP","","","Xeku Zwei","Infinite Justice (METEOR)","","","Full Armor (TB)","","","","","","","Nightingale EX","Virsago EX",""
"Psycommu","5 - 6 Range","Unicorn Awakened EX","Banshee Norn","Nu EX","Qubeley (ZZ)","Sinanju EX","Bertigo","Halphas EX","Rafflesia","Phoenix EX","","Sinanju EX","","Halphas EX","Ple's Qubeley","Great Zeong EX",""
"","","Le Cygne EX","Red Gundam","Perfect Zeong","","Nightingale EX","","Phoenix EX","","Great Zeong EX","","","","Nu EX","","Sazabi",""
"","","Zeta III P2","Zeta","Unicorn Ver. TWC","","","","Beta Azieru","","","","","","","","F91",""
"","","Narrative C-Packs","Qubeley","","","","","Zeong","","","","","","","","Kshatriya Repaired",""
"","","","Rafflesia","","","","","","","","","","","","","",""
"","4 Range","","","F91","Narrative B-Packs","The-O EX","GQuuuuuuX","","Banshee Norn","","","","","Beta Azieru","Narrative B-Packs","Zeta III P2",""
"","","","","Zeong","","","","","Ple's Qubeley","","","","","","","Narrative C-Packs",""
"","","","","","","","","","Qubeley","","","","","","","",""
"","3 Range","","","Sazabi","Bertigo","","","","","","","Kshatriya Repaired","Zeta","","Qubeley (ZZ)","The-O EX",""
"","","","","","","","","","","","","Perfect Zeong","","","","",""
"","1 - 2 Range","","","","GQuuuuuuX","","","Unicorn Ver. TWC","","","","","Red Gundam","","","",""
"","MAP","","","","","","","Le Cygne EX","","","","","","","Nightingale EX","Unicorn Awakened EX",""
"Aerial Use","5 - 6 Range","Tallgeese III EX","Zeta","AGE-2 Normal EX","","AGE-2 Normal EX","Wing Zero","Tallgeese III EX","Regnant","Phoenix EX","","","","Halphas EX","","",""
"","","Zeta III P2","Zeta III","","","","","Phoenix EX","","","","","","","","",""
"","","","Airmaster Burst","","","","","Halphas EX","","","","","","","","",""
"","","","Atlas","","","","","GN Arms Type-D","","","","","","","","",""
"","4 Range","","Rising Freedom","G-Falcon Airmaster","Alyzeus","","Ingrid 0's Gaplant","Murasame","Airmaster Burst","","Barara's Mack Knife","Murasame","","","Alyzeus","Throne Eins Turbulenz",""
"","","","","","Wing Zero","","","Arios GNHW/M","","","","GN Arms Type-D","","","","Zeta III P2",""
"","","","","","","","","","","","","","","","","Arios GNHW/M",""
"","3 Range","","","","Barara's Mack Knife","","","","Rising Freedom","","","","Zeta","","","",""
"","1 - 2 Range","","","","Ingrid 0's Gaplant","","","","Atlas","","","","","","","",""
"","","","","","","","","","Zeta III","","","","","","","",""
"","MAP","Throne Eins Turbulenz","Regnant","","","","","","","","","","","","","G-Falcon Airmaster",""
