"Blank Pilot Stage","= SP conversion / UR2 = Gacha = Duplicates = SR / R scouted pilot Restriction","Ships","Team 1 Unit 1","Unit 2","Unit 3","Unit 4","Unit 5","","Team 2 Unit 6","Unit 7","Unit 8","Unit 9","Unit 10","","Pre-requisite Mods","Video"
"","Rival","SR Rival","Gold Frame Amatsu","Neo Zeong","Justice Meteor","UR Hyperion","Attacker Hyperion","","SSR Banshee Norn","Apsaras III","SSR Psycho Zaku (SP)","Blue Destiny Unit-2","SSR Sazabi","","Ex 3","https://youtu.be/v66Q3uK_9Sc?si=cat042kup675I2ZR&t=1"
"","","SR U.C. Series","SSR Lane Aim","SSR Quattro","SSR Kou Uraki","Kelley Layzner","Canard Pars","","SSR Shiro Amada","Aina Sakhalin","Monique Cadillac","Nimbus Schterzen","Prayer Reverie","","",""
"","Rival","22% Unstoppable","SSR Psycho Zaku","SSR Virsago Chest Break","Neo Zeong","SSR Banshee Norn","Tallgeese II","","Justice Meteor","Gold Frame Amatsu","SSR Kimaris Vidar","Qubeley (ZZ)","Blue Destiny Unit-2","","","https://www.bilibili.com/video/BV1xEZpBQEXS/?share_source=copy_web"
"","","SR Rival","SSR Daryl","SSR Kou Uraki","SSR Quatre","SSR Lane Aim","Kelley Layzner","","Lacus","Wistario Afam","SSR Quattro","SSR Elpeo Ple","Nimbus Schterzen","","",""
"6","Char's Counterattack","SR Protag","SSR Nu (SP)","Messer Type-F01","Re-GZ (BW System)","Re-GZ (BW System)","SSR Beta Azieru"," ","SSR Sazabi","SSR Penelope","SSR Nightingale","SSR Hi Nu","SSR Xi","","Ex 1, 4","https://youtu.be/ELE4x9e6SCM?si=3eH65zgO6KCyyfL0"
"","","22% Hathaway","UR Support Amuro","","","","","","","","","","","","",""
"","Char's Counterattack","SR U.C. Series","SSR Nu","Full Armor Hyaku-Shiki Kai","SSR Hi Nu","Alpha Azieru","Re-GZ Custom","","SSR Sazabi","SSR Xi","SSR Nightingale","SSR Penelope","Alyzeus","","Ex 1, 4","https://www.bilibili.com/video/BV125AMzdEtz/?share_source=copy_web"
"","","22% Hathaway","SSR Hathaway","Gigi Andalucia","","","SSR Kenneth","","","Julia Suga","SSR Emeralda Zubin","SSR Lane Aim","SSR Gawman Nobile","","",""
"7","MS Gundam","SR Protag","Perfect Zeong","G-3 Gundam","Acguy Recon Type","SSR Char's Zaku (Origin) (SP)","SSR Full Armor (Thunderbolt)","","Big Zam","Guncannon Aqua","Gyan Eos","Red Gundam (0085)","Gundam Full Armor (SP)","","Ex 1, 15","https://youtu.be/dsV1myLU3E4?si=Cqw6_BtIacOwhPsr"
"","","18% MSG","SSR Lalah Sune","Gaia (GQ)","Herbert Von Kuspen","Monique Cadillac","Deux Murasame","","SSR Kou Uraki","SSR Shiro Amada","SSR Anavel Gato","Shuji Ito","SSR Sayla Mass","","",""
"","MS Gundam","22% Lightning Fast ","Gyan Eos","UR Casval","Adzam","Big Zam","Red Gundam (0085)","","Gundam GP04","SR GP02A","SSR Gouf Custom","SSR Full Armor (Thunderbolt)","Apsaras III","","Ex 1, 4, Tower","https://youtu.be/QrmDfuX26K0?si=h5YPgLEHLjOCfbrR"
"","","18% MSG","Herbert Von Kuspen","SSR Kou Uraki","SSR Daryl","Gaia (GQ)","Shuji Ito","","SSR Io Fleming","Kelley Layzner","Aina Sakhalin","SSR Shiro Amada","Monique Cadillac","","",""
"8","Zeta","22% Aerial Use","Saikoro Gundam","Attack Psycho Gundam (SP)","SSR Zeta","UR Zeta III P2","Defend Psycho Gundam","","Attack Hyaku Shiki","SSR Qubeley","SSR The-O","Gundam Mk-IV","Titania","","Ex 11, Tower","https://www.bilibili.com/video/BV1kCjc6SETU/?share_source=copy_web"
"","","22% Shippujinrai","","","","SSR Quattro","","","","","","","","","",""
"","Zeta","22% Aerial Use","Hambrabi","FA MK-III","UR Zeta III P2","Attack Psycho Gundam (SP)","SSR Qubeley","","Attack Hyaku Shiki","SSR The-O","SSR Zeta","Defend Psycho Gundam","Gundam Mk-IV","","Ex 1, 11, 24, Tower","https://youtu.be/mbsINvbC_RU?si=D5DlftvIwaf-tsHd"
"","","22% Shippujinrai","","SSR Quattro","UR Asuna","SSR Amuro (SP)","","","","","","","","","",""
"9","Specialized","22% Lightning Fast","Flauros ""Ryusei-Go""","Lfrith Ur","Khronos","Airmaster Burst","SSR Char's Zaku (Origin) (SP)","","Hajiroboshi","Dark Gundam (Final Form) (SP)","Seravee GNHW/B","Heavyarms Custom EW","Barbatos Lupus (SP)","","Ex 2","https://youtu.be/yxwkZI4gLhU?si=TgZiVumsnRHYo9wU"
"","","SR Alternate Series","SSR Kou Uraki","Kelley Layzner","SSR Lane Aim","Sampo Hakuri","Monique Cadillac","","SSR Ramba Ral (SP)","Gai Murakumo","SSR Shiro Amada","SSR Quatre","SSR Andrew (Seed) (SP)","","",""
"","Specialized","SR Protag","SSR Barbatos 6th Form (SP)","Lfrith Ur","SSR AGE-2 Normal","SSR Char's Zaku (Origin) (SP)","Wing Zero","","Altron EW (SP)","Dark Gundam (Final Form) (SP)","Airmaster Burst","Seravee GNHW/B","AGE-2 Double Bullet (SP)","","Ex 1, 2, 4","https://youtu.be/d4_BGBg7bR8?si=OV6mHwULR_aO2gcx"
"","","SR Alternate Series","SR Mika (SP)","Kelley Layzner","Sampo Hakuri","SSR Ramba Ral (SP)","SSR Daryl","","Chang Wufei (EW) (SP)","SSR Andrew (Seed) (SP)","Meer","Gai Murakumo","SSR Io Fleming","","",""
"","Specialized","SR Alternate Series","Dark Gundam (Final Form)","Airmaster Burst","Knight Gundam","SSR Virsago Chest Break","Flauros ""Ryusei-Go""","","Aerial Rebuild SSR","Wing Zero","UR Casval","SSR Barbatos Lupus Rex (SP)","Hajiroboshi","","Ex 2, 7, 12, 14, 17, 19, Tower","https://youtu.be/7VvPi_99yqA?si=Ucq19jYs25hRHwO6"
"","","SR Protag","Miorine","Meer","","Lacus","SSR Lane Aim","","","SSR Quatre","Monique Cadillac","Nyaan","Sampo Hakuri","","",""
"","Specialized","22% Unstoppable","Elpeo Ple's Qubeley Mk-II","SSR AGE-2 Normal","Wing EW","Musha","SSR Virsago Chest Break","","AGE-2 Artimes","AGE-2 Double Bullet","UR Casval","Aerial Rebuild SSR","Concert Zaku","","Ex 1, 2, 4, Tower","https://youtu.be/LYhPh1231Q4?si=NsYHppu4bzDRGeJU"
"","","SR Protag","SSR Elpeo Ple","SSR Anavel Gato","SSR Quatre","","Meer","","Prayer Reverie","SSR Lane Aim","Monique Cadillac","SSR Oliver May","Lacus","","",""
"10","ZZ","SR Protag","Quin Mantha","Qubeley (ZZ)","SSR Zeta","SSR FA ZZ (SP)","SSR FA ZZ","","Quin Mantha","Support Hyaku Shiki","SSR Zeta","Geymalk","Geymalk (SP)","","Ex 1","https://youtu.be/LyKN73cJ_X0?si=86EYKefIDbAMT6Mc"
"","","SR U.C. Series","","","","","","","","","","","","","",""
"","ZZ","SR U.C. Series","Attack Hyaku Shiki","Geymalk","SSR Psycho Gundam Mk-III","Quin Mantha","Zaku III Custom","","Elpeo Ple's Qubeley Mk-II","SSR FA ZZ (SP)","SSR Zeta","Over.on (Armor Form)","Qubeley (ZZ)","","Ex 1, 3","https://youtu.be/ZjCMc5jb4yI?si=cXAYbmfxMhXYGc96"
"","","22% Tough as Nails","","","","","","","","","","","SSR Elpeo Ple","","",""
"11","Unstoppable","22% Unstoppable","SR Justice","Musha","Lfrith Thorn","UR Zeta III P2","Elpeo Ple's Qubeley Mk-II","","SSR Psycho Zaku","Satan","Gold Frame Amatsu","Tallgeese II","Tallgeese","","Ex 1, 2, 3, 7, Tower","https://youtu.be/ut3iTmnvIZw?si=rPdKLaZ1enL36oz3"
"","","SR Rival","SSR Quatre","","","Lacus","SSR Elpeo Ple","","SSR Daryl","","Shiiko Sugai","Kelley Layzner","Challia Bull GQ","","",""
"","Unstoppable","22% Unstoppable","Musha","UR Zeta III P2","Elpeo Ple's Qubeley Mk-II","Astaroth Rinascimento","Titania"," ","Satan","Lfrith Thorn","Alpha Azieru","Tallgeese II","SSR Psycho Zaku","","Ex 1, 2, 4, 9, Tower","https://www.youtube.com/watch?v=eP4tsGoXHWM"
"","","SR Rival","","Lacus","SSR Elpeo Ple","SSR Argi Mirage","Deux Murasame","","","SSR Io Fleming","Challia Bull GQ","Kelley Layzner","SSR Daryl","","",""
"","Unstoppable","SR Protag","SSR Psycho Zaku","Astaroth Rinascimento","SSR AGE-2 Normal","Attack GQx","SSR 00 Final Battle (SP)","","SR Justice (SP)","SSR Virsago Chest Break (SP)","Reginlaze Julia (Ground Type)","Attack Psycho Gundam (SP)","SSR Banshee Norn","","Ex 2, 3, 4, 5, 9","https://youtu.be/rcytSGN-Rsw?si=c0NCH9tfwDqpnioD"
"","","SR Rival","SSR Daryl","SSR Andrew (Seed) (SP)","Kelley Layzner","Amate (MACHU)","SR Amuro (Zeta) (SP)","","SSR Ramba Ral (SP)","SR Setsuna S2 (SP)","Sampo Hakuri","SSR Amuro (SP)","Gai Murakumo","","",""
"","Unstoppable","SR Protag","SSR Psycho Zaku","Gundam GP03","UR Delta Kai","UR Zeta III P2","Wing EW","","SSR Banshee Norn","Kshatriya Repaired","SSR Neue Ziel","Byarlant 02","Tallgeese II","","Ex 1, 2, Tower","https://youtu.be/sFiFumCMyac?si=Kpmrr23AKwdWW5yf"
"","","SR U.C. Series","SSR Daryl","Deux Murasame","UR Support Amuro","SSR Quattro","SSR Heero","","Gaia (GQ)","Lacus","SSR Anavel Gato","SSR Io Fleming","Kelley Layzner","","",""
"12","G Gundam","22% Unstoppable","Shining Gundam (Super Mode)","Rose Gundam","SSR Burning","Shadow Gundam","Noble Gundam","","SSR Master","UR Urube's","Dark Gundam (Final Form)","Shining Gundam","Grand Master","","Ex 2, 4, 9, 11, 16, Tower","https://youtu.be/9iR0kqx52Uo?si=pTy7HFbwr7RG0yAw"
"","","SR Alternate Series","","","","","","","","","","","","","",""
"13","Unicorn","SR Protag","UR Delta Kai","SSR Narrative C-Packs (Awakened)","Neo Zeong","SSR Narrative A-Packs","Narrative B-Packs","","Sinanju Stein","Byarlant Custom 02","Sinanju","Kshatriya Repaired","SSR FA Unicorn","","Ex 1","https://youtu.be/HEOi9pafYBg?si=9cgqG8B9k-3ZLtKX"
"","","SR U.C. Series","","","","","","","SSR Zoltan","","","","","","",""
"","Unicorn","26% Unicorn","Sinanju (SP)","Neo Zeong","Rebawoo","Kshatriya Repaired","Kshatriya","","Sinanju Stein","Krake Zulu","Silver Bullet","II Neo Zeong","Rozen Zulu","","Ex 1","https://youtu.be/YmkOIRheWJE?si=Fcg379or3SKnMSl_"
"","Neo Zeong","SR U.C. Series","UR Full Frontal","","","","","","SSR Angelo Sauper","","","","","","",""
"","Unicorn","SR U.C. Series","Sinanju (SP)","Krake Zulu","Kshatriya","Rozen Zulu","Geara Zulu","","Neo Zeong (SP)","Rebawoo","Neo Zeong (1*)","Kshatriya Repaired","Geara Doga","","Ex 1, 11, 13, Tower","https://youtu.be/KWJV-rZ5vkw?si=BQbYu38dWVj7pTAk"
"","Neo Zeong","22% Unstoppable","","","","","","","","","","","","","",""
"14","IBO","22% Tough as Nails","Hekija","SSR Barbatos 6th Form","Barbatos Lupus","Gusion Rebake","Shiden"," ","SSR Barbatos Limiter OFF","SSR Barbatos Lupus Rex (SP)","Flauros ""Ryusei-Go""","Riden-Go","Gusion Rebake Full City","","Ex 2, 4, 9, Tower","https://youtu.be/b-6OyT3M5aY?si=LVcN20qOcpdiXGsc"
"","Tekkadan","SR Alternate Series","","SSR Argi Mirage","","","","","","Wistario Afam","","Sampo Hakuri","","","",""
"15","One-shot Killer","SR Rival","Gold Frame Amatsu Mina (SP)","Altron EW (SP)","Blue Destiny Unit-3","XK","UR Hyperion","","SR Freedom (SP)","SSR Barbatos Lupus Rex (SP)","Grand Master","SSR Dynames (SP)","Unicorn SSR","","Ex 2, 3, 9, 14","https://youtu.be/05cP6ZQhhsw?t=0&si=_ywNn5YT5otZkEzR"
"","","SR Alternate Series","SSR Io Fleming","SSR Ramba Ral (SP)","SSR Yuu Kajima","Sampo Hakuri","Kelley Layzner","","SSR Andrew (Seed) (SP)","Wistario Afam","SSR Quatre","SSR Lockon Stratos (SP)","Deux Murasame","","",""
"","One-shot Killer","SR Alternate Series","Grand Master","Gold Frame Amatsu Mina (SP)","SSR Barbatos Lupus Rex","SSR Dynames (SP)","SSR Kimaris Vidar","","SR Freedom (SP)","SSR Nu (SP)","Wing Zero","Unicorn SSR","AGE-2 Double Bullet","","Ex 2, 3","https://youtu.be/JZSefV42bk8?si=AR1IP9AcES619zFs"
"","","SR Protag","SSR Shiro Amada","SSR Ramba Ral (SP)","Wistario Afam","SSR Lockon Stratos (SP)","Deux Murasame","","SSR Andrew (Seed) (SP)","SSR Hathaway","SSR Quatre","Kelley Layzner","SSR Lane Aim","","",""
"16","Tough as Nails","SR Alternate Series","SSR Strike Freedom","Infinite Justice","SSR FA ZZ","Shiranui Akatsuki","Dark Gundam (Final Form) (SP)","","SSR Hi Nu","Knight Gundam","Defend Psycho Gundam","Strike Freedom Meteor","Defend Psycho Gundam","","Ex 1, 3, 12, Tower","https://youtu.be/nK9Zc1xMGm8?si=eULFBG7aoQJ-AcEK"
"","","SR Protag","Meer","Lacus","Kelley Layzner","Sampo Hakuri","Miorine"," ","SSR Anavel Gato","","","SSR Io Fleming","SSR Char (GQ)","","",""
"","Tough as Nails","SR Alternate Series","Dark Gundam (Final Form)","SSR Strike Freedom","Infinite Justice","Strike Freedom Meteor (SP)","Shiranui Akatsuki","","SSR Hi Nu","SSR The-O","SSR Penelope","SSR FA ZZ","SSR Zeong","","Ex 1, 2, 3, 4, 6","https://youtu.be/4M6ZQ_HlghU?si=H-UUEC4KD6i3MLbv"
"","","SR U.C. Series","SSR Quattro","UR Asuna","Amate (MACHU)","SSR Kou Uraki","Kelley Layzner"," ","SSR Char (GQ)","Sampo Hakuri","UR Support Amuro","SSR Io Fleming","Gaia (GQ)","","",""
"","Tough as Nails","22% Tough as Nails","Knight Gundam","Dark Gundam (Final Form)","Barbatos Lupus","SSR Barbatos 6th Form","SSR Strike Freedom","","Support Hyaku Shiki","SSR The-O","SSR Zeong","Apsaras III","SSR Penelope","","Ex 3, 6, 9, 12, 14, Tower","https://youtu.be/1gahBVnzbEQ?si=3y41S6BrxPGXzNpg"
"","","","","Lacus","Wistario Afam","Miorine","Meer","","SSR Elpeo Ple","Kelley Layzner","Gaia (GQ)","SSR Lane Aim","SSR Hathaway","","",""
"17","Witch from Mercury","SR Protag","SSR Calibarn","SSR Aerial","Aerial (Mirasoul)","SSR Aerial Rebuild (SP)","Aerial R","","Schwarzette (SP)","Lfrith Thorn","SSR Pharact (S2)","SR Pharact","Lfrith Ur","","Ex 2, 11, 15, Tower","https://youtu.be/9b3YYOXQUTk?si=F0dg4d52TSbMKwYT"
"","Gund-Arm","SR Alternate Series","","","","","","","Miorine","","","","","","",""
"18","Seed Destiny","SR Protag","SSR Strike Freedom","Dom Trooper","Strike Freedom Meteor","Strike Rogue","UR Amaterasu","","Shiranui Akatsuki","SSR Infinite Justice","Infinite Justice Meteor","Strike Rogue (Ootori)","Oowashi Akatsuki","","Ex 2, 3, 16, Tower","https://youtu.be/YTEAhZfG-zs?si=p58dsIMAbyb3xM0J"
"","Orb","SR Alternate Series","Meer","","","","","","","","","","","","",""
"","Seed Destiny","SR Alternate Series","Gold Frame Amatsu Mina (SP)","Infinite Justice Meteor","Strike Rogue (Ootori)","Dom Trooper","Shiranui Akatsuki","","SSR Strike Freedom","SSR Amaterasu","Strike Freedom Meteor (SP)","SSR Infinite Justice","Oowashi Akatsuki","","Ex 2, 3, 16, Tower","https://youtu.be/gxAAvtJwLz8?si=mGgD1EhwIVkIMT29"
"","Orb","22% Tough as Nails","","","","","SSR Selene McGriff","","Meer","","SSR Sven Cal Bayang","","","","",""
"19","X","SR Alternate Series","SSR DX","Leopard Destroy","SSR Virsago Chest Break","Bertigo","Patulia","","G-Falcon DX (SP)","X Divider","Ashtaron Hermit Crab","Airmaster Burst","G-Falcon GX","","Ex 2, 9, Tower","https://youtu.be/iF_hewrKKXI?si=0sA2TJoiL0nESj6N"
"","","22% Lightning Fast","Tifa","","","","","","","","","","","","",""
"20","Seed","SR Alternate Series","Justice Meteor","Attacker Hyperion","Perfect Strike","Providence","Blue Frame Second L","","Dragoon Strike","Freedom Meteor","Gold Frame Amatsu","SR Freedom (SP)","Aile Strike SR","`","Ex 2, 3","https://youtu.be/o4ywb36JE6I?si=S2d8hCZWdb9skLNa"
"","","SR Protag","","Canard Pars","","","Gai Murakumo","","Prayer Reverie","","Rondo Gina","","SSR Lowe Guele","","",""
"21","Age","SR Protag","AGE-2 Double Bullet (SP)","AGE-2 Artimes","AGE-1 Spallow","AGE-2 Normal","AGE-1 Titus","","Defurse","G-Xiphos","Khronos","AGE-1 02 Assault Jacket","Zeydra","","Ex 2, 4, 9, 16","https://youtu.be/J8Qd2fLxMPM?si=mzYJRHj_sKQ10OdX"
"","","SR Alternate Series","","","","","","","","","","","","","",""
"","Age","SR Protag","AGE-1 Titus","AGE-1 02 Assault Jacket","AGE-1 Spallow","AGE-2 Double Bullet (SP)","AGE-2 Artimes","","Khronos","G-Xiphos","AGE-2 Normal","Defurse (SP)","Zeydra (SP)","","Ex 2, 9, 16","https://youtu.be/5S48wdjCWEw?si=lMogKZjw61uonMzc"
"","","SR Alternate Series","","","","","","","","","","","","","",""
"","W","SR Alternate Series","Altron EW","Sandrock Custom EW","Heavyarms Custom EW","Tallgeese III","SSR Wing Zero EW","","Epyon (SP)","UR Epyon EW","Wing Zero","Scorpio","Tallgeese II","","Ex 9, 11, 15, 16, Tower","https://youtu.be/EP0SSGKjKZ0?si=EgRu7ry9grJoSYhn"
"","","22% Aerial Use","","","","","","","Milliardo Peacecraft (SP)","","SSR Quatre","","","","",""
"","W","SR Alternate Series","SSR Wing Zero EW","Tallgeese II","Heavyarms Custom EW","Deathscythe Hell (EW)","Epyon","","Altron EW","Wing Zero","UR2 Epyon EW","Virgo II","Scorpio","","Ex 2, 3, 9, 15, 16, 24","https://youtu.be/JoB_TR1KkOE?si=q8OELd-J46TxL-qM"
"","","SR Rival","","","","","","","","","Milliardo Peacecraft (SP)","","","","",""
"","W","SR Rival","Altron EW (SP)","R Wing EW","R Wing EW","R Wing EW","Tallgeese","","Wing Zero","UR2 Epyon EW","Wing Zero","Wing Zero","Tallgeese II","","Ex 2, 9, 15, Tower","https://youtu.be/CEo5bvACb24?si=tFhK6OXm_10FBCDo"
"","","22% Aerial Use","Chang Wufei (EW) (SP)","","Odel Barnet","","","","","Milliardo Peacecraft (SP)","","","","","",""
"","W","SR Alternate Series","Wing Zero","Altron EW","Deathscythe Hell (EW)","Altron EW (SP)","Deathscythe Hell (EW) (SP)","","Wing Zero","Heavyarms Custom EW","Altron","Altron","SSR Wing Zero EW","","Ex 2, 9, 15, 16, Tower","https://youtu.be/wixYt6IpGUM?si=joDWMAxybd06SXiY"
"","Operation Meteor","14% Tenacious","","","Relena Darlian (EW)","","SSR Quatre","","","","","","","","",""
"","W","SR Alternate Series","SSR Wing Zero EW","Altron EW","SSR Wing Zero EW","Sandrock Custom EW","Sandrock Custom EW","","Wing Proto Zero EW (SP)","Deathscythe Hell (EW) (SP)","Altron EW (SP)","Heavyarms Custom EW","Wing Zero","","Ex 2, 4, 9, 11, 15, Tower","https://youtu.be/7IBX4d_Y6aU?si=pioLxK0JLTlsZtz2"
"","Operation Meteor","26% W","","","","SSR Heero","","","SSR Quatre","Chang Wufei (EW) (SP)","","","","","",""
"","W","22% Unstoppable","Wing EW","Wing Zero","Sandrock Custom EW","SSR Wing Zero EW","Sandrock EW Armadillo","","Heavyarms Custom EW","Altron EW (SP)","Altron","Deathscythe Hell (EW) (SP)","Wing Zero","","Ex 2, 4, 9, 15, 16, Tower","https://youtu.be/DTL2h8a6-24?si=1Aa6YBGKu1r0sLgA"
"","Operation Meteor","26% W","SSR Heero","","","","","","","SSR Quatre","","UR Preventer Wind","","","",""
"","W","26% W","Deathscythe Hell (EW) (SP)","Wing Zero","Wing Proto Zero EW","Deathscythe Hell","Altron EW","","SSR Wing Zero EW (SP)","Wing EW","Sandrock Custom EW","Sandrock EW Armadillo","Sandrock Custom","","Ex 9, 11, 15, Tower","https://youtu.be/QMFT_Sz_zEI?si=KI6wvudPVfv5ebsR"
"","Operation Meteor","22% Unstoppable","UR Preventer Wind","","","","","","UR Heero","SR Heero (EW) (SP)","","","","","",""
"","W","SR Alternate Series","SSR Wing Zero EW","Deathscythe Hell (EW) (SP)","Altron EW","Sandrock Custom EW","Heavyarms Custom EW","","Wing EW (SP)","Wing Zero","Wing Zero","Altron","Sandrock EW Armadillo","","Ex 4, 9, 11, 15, 16, Tower","https://youtu.be/RnS639ua10I?si=UBMVo7e0ZNrMsgIS"
"","Operation Meteor","22% Unstoppable","","Odel Barnet","SSR Heero","UR Preventer Wind","","","UR Heero","","","","","","",""
"","W","18% W","Deathscythe Hell (EW) (SP)","SSR Wing Zero EW","Altron EW","Sandrock Custom EW","Heavyarms Custom EW","","Wing Zero","Wing Zero","Altron","SR Wing Gundam","Wing Proto Zero EW (SP)","","Ex 2, 4, 9, 11, 15, 16, Tower","https://youtu.be/YFZ2AiXSDCk?si=jjPid0XdKRzNP0Ui"
