"FA Hyaku-Shiki Kai","","22% Unstoppable","SSR 00 Final Battle (SP)","Reborns Gundam (SP)","SSR Hi Nu","UR Wing Zero EW (0*)","00 Raiser","","SSR Phenex (Destroy) (SP)","G-Falcon DX (SP)","SSR Nightingale (SP)","SSR Duel Assault Shroud","UR Master Gundam (0*)","","https://youtu.be/YacepT5y2IM?si=1rzjRJKlTIO6Cm6j"
"","","22% Lightning Fast ","UR Full Frontal","UR Reiji","Kelley Layzner","UR Heero","SSR Lockon Stratos (SP)","","UR Scirocco","UR Asuna","SSR Emeralda Zubin","SSR Yzak (Seed)","UR Master Asia","",""
"Destiny Impulse","","22% Lightning Fast ","SSR Phenex (Destroy) (SP)","UR Throne Eins Turbulenz","G-Falcon DX (SP)","UR Master Gundam (0*)","UR 00 Final Battle (0*)","","SSR 00 Final Battle (SP)","Reborns Gundam (SP)","SSR Hi Nu","UR Wing Zero EW (0*)","SSR Virsago Chest Break (SP)","","https://youtu.be/JwYDcOqsUG4?si=5OINYI3qzBgK0pxT"
"","","22% Unstoppable","UR Scirocco","SSR Lockon Stratos (SP)","UR Asuna","UR Master Asia","UR Defend Setsuna","","UR Full Frontal","UR Daryl","UR Defend Mika","UR Support Shinn","UR Support Kira","",""
"Command","","22% Unstoppable","SSR Virsago Chest Break (SP)","Reborns Gundam (SP)","SSR Hi Nu","UR Wing Zero EW (0*)","SSR 00 Final Battle (SP)","","UR Master Gundam (0*)","G-Falcon DX (SP)","SSR Phenex (Destroy) (SP)","SSR Nightingale (SP)","UR 00 Final Battle (0*)","","https://youtu.be/jLCxhYtbeg4?si=2_Ge7SV2MirJQ9g8"
"","","22% Lightning Fast ","UR Full Frontal","UR Support Shinn","UR Defend Jona","UR Heero","UR Attack Setsuna","","UR Master Asia","UR Asuna","UR Scirocco","UR Reiji","UR Defend Setsuna","",""
"Musha","","22% Unstoppable","SSR 00 Final Battle (SP)","Reborns Gundam (SP)","SSR Virsago Chest Break (SP)","SSR Wing Zero EW (SP)","00 Raiser","","SSR Nightingale (SP)","UR Master Gundam (0*)","SSR Phenex (Destroy) (SP)","G-Falcon DX (SP)","UR 00 Final Battle (0*)","","https://youtu.be/8goe7m3tWZM?si=BiOpYIT7bc_BxOmO"
"","","22% Lightning Fast ","UR Full Frontal","UR Support Shinn","UR Support Kira","UR Asuna","SSR Lockon Stratos (SP)","","UR Reiji","UR Master Asia","UR Scirocco","UR Daryl","UR Defend Setsuna","",""
"Titania","","22% Unstoppable","UR Burning Gundam (0*)","SSR 00 Final Battle (SP)","Reborns Gundam (SP)","UR Wing Zero EW (0*)","SSR Virsago Chest Break (SP)","","G-Falcon DX (SP)","UR Hi Nu (0*)","SSR Phenex (Destroy) (SP)","SSR Nightingale (SP)","UR Master Gundam (0*)","","https://youtu.be/SvVCkohT9M0?si=FQ3Y2lP_LPac848M"
"","","22% Lightning Fast ","UR Domon","UR Full Frontal","UR Support Shinn","SSR Heero","UR Reiji","","UR Asuna","UR Attack Amuro","UR Scirocco","UR Support Kira","UR Master Asia","",""
"Byarlant 02","","22% Unstoppable","SSR 00 Final Battle (SP)","SSR Virsago Chest Break (SP)","UR Wing Zero EW (0*)","00 Raiser","Reborns Gundam (SP)","","SSR Nightingale (SP)","UR Master Gundam (0*)","SSR Phenex (Destroy) (SP)","G-Falcon DX (SP)","UR 00 Final Battle (0*)","","https://youtu.be/Xwb0aFECNQo?si=9ZCWDHYc6jAIp4_7"
"","","22% Lightning Fast ","UR Full Frontal","UR Support Shinn","UR Heero","SSR Lockon Stratos (SP)","UR Support Kira","","UR Reiji","SSR Andrew (Seed) (SP)","UR Scirocco","UR Asuna","UR Defend Setsuna","",""
"Shining (Super Mode)","","22% Shippujinrai","SSR Gouf Custom (SP)","UR Exia","UR Throne Eins Turbulenz","SSR 00 Final Battle (SP)","SR Justice (SP)","","UR Master Gundam (0*)","UR Kampfer (0*)","SSR Phenex (Destroy) (SP)","SSR Nightingale (SP)","Quin Mantha","","https://youtu.be/9tmakQxBIpM?si=9Bq-DEvAMliS_vrk"
"","","22% Lightning Fast ","SSR Ramba Ral (SP)","UR Asuna","SSR Lockon Stratos (SP)","UR Full Frontal","SSR Andrew (Seed) (SP)","","UR Mark Guider","UR Support Shinn","UR Scirocco","UR Support Kira","Kelley Layzner","",""
"Hajiroboshi","","22% Unstoppable","SSR 00 Final Battle (SP)","00 Raiser","UR Wing Zero EW (0*)","Reborns Gundam (SP)","SSR Virsago Chest Break (SP)","","SSR Nightingale (SP)","UR Master Gundam (0*)","SSR Phenex (Destroy) (SP)","UR 00 Final Battle (0*)","G-Falcon DX (SP)","","https://youtu.be/LhHInBKlgjc?si=aFNBrvM7P0C5k-E6"
"","","22% Lightning Fast ","UR Full Frontal","SSR Lockon Stratos (SP)","UR Heero","UR Support Kira","UR Support Shinn","","UR Attack Kira","SSR Andrew (Seed) (SP)","UR Mark Guider","UR Defend Setsuna","UR Asuna","",""
"FA MK-III","","22% Unstoppable","00 Raiser","UR Wing Zero EW (0*)","SSR 00 Final Battle (SP)","Reborns Gundam (SP)","Reginlaze Julia (Ground Type)","","SSR Phenex (Destroy) (SP)","G-Falcon DX (SP)","UR Master Gundam (0*)","UR 00 Final Battle (0*)","Phenex (Unicorn) (SP)","","https://youtu.be/UI0_zyRFXtg?si=jRNoWRuRQowuH6dP"
"","","22% Lightning Fast ","SSR Lockon Stratos (SP)","UR Reiji","UR Full Frontal","UR Support Kira","Sampo Hakuri","","UR Mark Guider","UR Asuna","UR Master Asia","UR Defend Setsuna","Tifa","",""
"Zaku (Concert)","","22% Lightning Fast ","Dark Gundam (Final Form) (SP)","Attacker Hyperion","G-Falcon DX (SP)","UR 00 Final Battle (0*)","SSR Phenex (Destroy) (SP)","","00 Raiser","SSR Wing Zero EW (SP)","UR Wing Zero EW (0*)","Reborns Gundam (SP)","SSR 00 Final Battle (SP)","","https://youtu.be/WEs51hHTwhw?si=CSpA8ZdHcwGwCyLz"
"","","22% Unstoppable","UR Support Suletta","Canard Pars","UR Daryl","UR Defend Setsuna","UR Attack Char (CCA)","","UR Support Kira","UR Asuna","UR Heero","UR Reiji","UR Attack Setsuna","",""
"G-Falcon GX","","22% Tough as Nails","Shamblo","Dark Gundam (Final Form) (SP)","Strike Freedom Meteor (SP)","SSR Penelope (SP)","Lfrith Ur","","Grand Zam","Deathscythe Hell (EW) (SP)","SSR Dynames (SP)","SSR Gouf Custom (SP)","SSR 00 Final Battle (SP)","","https://youtu.be/ylYrSa7uK_k?si=bYArvI-coNWT5OHz"
"","","22% Shippujinrai","SSR Kou Uraki","SSR Ramba Ral (SP)","Asuna","UR Support Amuro","Kelley Layzner","","SSR Daryl","UR Support Kira","SSR Lockon Stratos (SP)","UR Attack Setsuna","SSR Andrew (Seed) (SP)","",""
"G-Xiphos","","22% Unstoppable","Reborns Gundam (SP)","SSR Neue Ziel","SSR 00 Final Battle (SP)","UR2 Zeta III P2","SSR Virsago Chest Break (SP)","","Wing Proto Zero EW (SP)","G-Falcon DX (SP)","Quin Mantha","SSR Phenex (Destroy) (SP)","Perfect Strike","","https://youtu.be/YNMLiF_WKk4?si=fSrwBHmYUxpT3Wme"
"","","22% Lightning Fast ","UR Support Shinn","SSR Anavel Gato","UR Full Frontal","SSR Quattro","UR Support Suletta","","UR Support Kira","UR Asuna","Kelley Layzner","UR Support Amuro","Deux Murasame","",""
"Scorpio","","SR Alternate Series","SSR Dynames (SP)","SSR 00 Final Battle (SP)","G-Falcon DX (SP)","SSR Virsago Chest Break (SP)","Gold Frame Amatsu (SP)","","SSR FA ZZ (SP)","UR Zeta III P2","Blue Destiny Unit-3","Attack GQx (SP)","SSR Nu (SP)","","https://youtu.be/61fZP5ET2zc?si=p2iYQ5kShbf0YMjF"
"","","SR U.C. Series","SSR Lockon Stratos (SP)","UR Scirocco","UR Asuna","SSR Witz Sou","SSR Andrew (Seed) (SP)","","SSR Kou Uraki","SSR Quattro","SSR Anavel Gato","Amate (MACHU)","UR Support Amuro","",""
"Gromlin","","22% Unstoppable","Neo Zeong (SP)","Reborns Gundam (SP)","UR2 Zeta III P2","SSR Virsago Chest Break (SP)","SSR 00 Final Battle (SP)","","G-Falcon DX (SP)","UR2 Casval","SSR Char's Zaku (Origin) (SP)","SSR Phenex (Destroy) (SP)","Arios Gundam (SP)","","https://youtu.be/cM6SWZkCSjU?si=KSfi1v0TpOePzbRZ"
"","","22% Lightning Fast ","UR Support Suletta","UR Support Shinn","SSR Quattro","UR Support Kira","UR Attack Setsuna","","UR Asuna","Monique Cadillac (SP)","SSR Ramba Ral (SP)","UR Support Amuro","UR Full Frontal","",""
"Mk-IV","","22% Lightning Fast ","UR2 Casval","SSR Phenex (Destroy) (SP)","SSR Nightingale (SP)","G-Falcon DX (SP)","SSR Duel Assault Shroud","","UR2 Zeta III P2","Reborns Gundam (SP)","Neo Zeong (SP)","SSR Virsago Chest Break (SP)","SSR 00 Final Battle (SP)","","https://youtu.be/MJ8TTIOFvOw?si=dJjeoC61PZlUxiVd"
"","","22% Unstoppable","Monique Cadillac (SP)","UR Support Amuro","UR Support Kira","UR Asuna","SSR Lane Aim","","SSR Quattro","UR Support Shinn","SSR Andrew (Seed) (SP)","UR Support Suletta","UR Full Frontal","",""
"F90 (Mars Zeon)","","22% Lightning Fast ","SSR Phenex (Destroy) (SP)","Wing Proto Zero EW (SP)","G-Falcon DX (SP)","SSR Xi (SP)","Guncannon Aqua (SP)","","SSR Gouf Custom (SP)","Strike Freedom Meteor (SP)","SSR Hi Nu (SP)","Dark Gundam (Final Form) (SP)","Shiranui Akatsuki","","https://youtu.be/QyFzbedzFO0?si=8yPug2k_xXNoJDhr"
"","","22% Tough as Nails","UR Support Amuro","UR Preventer Wind","UR Asuna","UR Defend Jona","UR Support Kira","","UR Attack Setsuna","UR Sven","UR Defend Amuro (CCA)","UR Full Frontal","UR Defend Mika","",""
"Musha Ghost","","22% Lightning Fast ","SSR Nightingale (SP)","Red Gundam (0085) (SP)","SSR Phenex (Destroy) (SP)","G-Falcon DX (SP)","Knight Gundam (Centaur)","","Apsaras III (SP)","Dark Gundam (Final Form) (SP)","Strike Freedom Meteor (SP)","Seravee GNHW/B (SP)","SSR Hi Nu (SP)","","https://youtu.be/yzrG6kTat7g?si=H6MKEWeQsnpp9VAL"
"","","22% Tough as Nails","SSR Hathaway","SSR Lalah","SR Support Amuro (MSG) (SP)","SSR Kou Uraki","","","Monique Cadillac","SSR Lane Aim","Saki Graham","SSR Lockon Stratos (SP)","Kelley Layzner","",""
"Knight Gundam (Centaur)","","22% Shippujinrai","Gundam Full Armor (SP)","SSR Dynames (SP)","Grand Zam","Gundam Mk-IV (SP)","SSR 00 Final Battle (SP)","","Dark Gundam (Final Form) (SP)","Strike Freedom Meteor (SP)","SSR FA ZZ (SP)","UR Psycho Gundam Mk-III","0 Gundam Full Armor","","https://youtu.be/c_C5B-PIMyc?si=haH5sli_ghZcLWdC"
"","","22% Tough as Nails","SSR Andrew (Seed) (SP)","SSR Lockon Stratos (SP)","SSR Shiro Amada","UR Support Amuro","UR Full Frontal","","UR Support Shinn","UR Support Kira","UR Support Suletta","","","",""
"","","22% Lightning Fast ","Knight Gundam (Centaur)","SSR Phenex (Destroy) (SSP)","Red Gundam (0085) (SP)","Guncannon Aqua (SP)","G-Falcon DX (SSP)","","SSR 00 Final Battle (SSP)","Byarlant Custom 02 (SP)","SSR Wing Zero EW (SP)","Gold Frame Amatsu (SP)","UR2 Zeta III P2","","https://youtu.be/WV48WDGt-hs?si=k9jlfIAoGNOPOy8D"
"","","22% Unstoppable","","SR Support Amuro (MSG) (SP)","SSR Lalah","Bianca Carlyle","SSR Kou Uraki","","SR Setsuna S2 (SP)","SSR Lane Aim","SSR Quatre","SSR Andrew (Seed) (SP)","SSR Quattro","",""
