"MS","Expert ER Usage","Stages required SP or UR2","Total Stages","Type","Rarity"
"Khronos","9, 21","","2","Supporter","SSR"
"Flauros ""Ryusei-Go""","9, 14","","2","Attacker","SSR"
"Blue Destiny Unit-2","1, 5","","2","Attacker","SSR"
"SSR FA ZZ","10, 16","10","2","Attacker","SSR"
"Neo Zeong","5, 13","13","2","Attacker","SSR"
"Byarlant Custom 02","11, 13","","2","Attacker","SSR"
"Gundam GP04","4, 7","","2","Attacker","SSR"
"Astaroth Rinascimento","2, 11","","2","Attacker","SSR"
"Musha","9, 11","","2","Attacker","SSR"
"Wing Proto Zero EW","22, 24","22, 24","2","Attacker","SR"
"SSR The-O","8, 16","","2","Defender","SSR"
"SSR Neue Ziel","1, 11","","2","Defender","SSR"
"Attack Psycho Gundam","8, 11","8, 11","2","Attacker","SSR"
"Defend Psycho Gundam","8, 16","","2","Defender","SSR"
"Alpha Azieru","6, 11","","2","Defender","SSR"
"Gyan Eos","1, 7","","2","Defender","SSR"
"Providence","3, 20","","2","Defender","SSR"
"NT-1 Chobham","4, 24","","2","Defender","SSR"
"Ashtaron Hermit Crab","19, 24","","2","Defender","SSR"
"Barbatos Limiter OFF","2, 14","","2","Supporter","ULT"
"Grand Master","12, 15","","2","Supporter","SSR"
"Kshatriya Repaired","11, 13","","2","Supporter","SSR"
"SSR Strike Freedom","16, 18","","2","Supporter","SSR"
"SSR Zeong","1, 16","","2","Supporter","SSR"
"Airmaster Burst","9, 19","","2","Supporter","SSR"
"AGE-2 Artimes","9, 21","","2","Supporter","SSR"
"Concert Zaku","3, 9","","2","Supporter","SSR"
"00 Raiser","2, 23","","2","Supporter","SSR"
"Infinite Justice Meteor","18, 24","","2","Supporter","SSR"
"Alyzeus","6, 24","","2","Supporter","SSR"
"Seravee GNHW/B","9, 23","","2","Supporter","SSR"
"Heavyarms Custom EW","9, 22","","2","Supporter","SSR"
"Narrative A-Packs","13, 25","25","2","Attacker","SSR"
"Sinanju Stein","13, 25","","2","Attacker","SSR"
"Narrative C-Packs (Awakened)","13, 25","","2","Supporter","ULT"
"Narrative B-Packs","13, 25","","2","Supporter","SSR"
"II Neo Zeong","13, 25","","2","Defender","SSR"
"Attack GQx","4, 11","","2","Attacker","SSR"
"Qubeley (ZZ)","5, 10","","2","Supporter","SSR"
"SSR Dynames","15, 23","15, 23","2","Supporter","SSR"
"Nightingale","6, 28","28","2","Attacker","SSR"
"Titania","8, 11","","2","Defender","SSR"
"SSR Tallgeese III","2, 22","","2","Defender","SSR"
"SSR Burning","2, 12","","2","Defender","SSR"
"SSR Destiny","3, 28","","2","Defender","SSR"
"SSR DX","2, 19","","2","Defender","SSR"
"0 Gundam Full Armor","2, 23","","2","Defender","SSR"
"X Astray","2, 3","","2","Supporter","SSR"
"Freedom Meteor","20","","1","Supporter","SSR"
"Dragoon Strike","20","","1","Attacker","SSR"
"Destiny Impulse","3","","1","Attacker","SSR"
"Epyon","22","22","1","Attacker","SSR"
"Patulia","19","","1","Attacker","SSR"
"Deathscythe Hell","22","22","1","Attacker","SSR"
"Gusion Rebake","14","","1","Supporter","SSR"
"Shadow Gundam","12","","1","Supporter","SSR"
"Phenex (Unicorn)","25","","1","Defender","SSR"
"Sinanju","13","13","1","Attacker","SSR"
"Arios Gundam","23","23","1","Attacker","SR"
"G-Falcon GX","19","","1","Supporter","SSR"
"SSR Aerial","17","","1","Defender","SSR"
"GP01FB","4","","1","Attacker","SSR"
"Herbert's Gelgoog","1","","1","Defender","SSR"
"Psycho Gundam Mk-III","10","","1","Defender","ULT"
"Blue Destiny Unit-3","15","","1","Defender","SSR"
"XK","15","","1","Defender","SSR"
"Geymalk","10","10","1","Attacker","SSR"
"Urube's Gundam","12","","1","Supporter","ULT"
"Epyon EW","22","22","1","Attacker","ULT"
"Gundam GP03","11","","1","Attacker","SSR"
"SSR Master","12","","1","Attacker","SSR"
"Legend","3","","1","Attacker","SSR"
"Hajiroboshi","9","","1","Attacker","SSR"
"Big Zam","7","","1","Attacker","SSR"
"Schwarzette","17","17","1","Attacker","SSR"
"SSR Pharact (S2)","17","","1","Attacker","SSR"
"Zaku III Custom","10","","1","Defender","SSR"
"SSR Kampfer","1","","1","Attacker","SSR"
"Dantalion T-Booster","28","","1","Supporter","SSR"
"Leopard Destroy","19","","1","Attacker","SSR"
"AGE-1 Titus","21","","1","Attacker","SSR"
"Zeydra","21","21","1","Attacker","SSR"
"The Gundam","21","","1","Attacker","SSR"
"Defurse","21","","1","Attacker","SSR"
"Over.on (Armor Form)","10","","1","Attacker","SSR"
"G-3 Gundam","7","","1","Attacker","SSR"
"SSR Gouf Custom","7","","1","Attacker","SSR"
"SSR Duel Assault Shroud","3","","1","Attacker","SSR"
"Sandrock Custom EW","22","","1","Attacker","SSR"
"Deathscythe Hell EW","22","22","1","Attacker","SSR"
"GP03 Stamen","24","24","1","Attacker","SR"
"Amaterasu","18","","1","Defender","ULT"
"Saikoro Gundam","8","","1","Defender","SSR"
"Full Armor Hyaku-Shiki Kai","6","","1","Defender","SSR"
"Quin Mantha","10","","1","Defender","SSR"
"SSR FA Unicorn","13","","1","Defender","SSR"
"Unicorn SSR","15","","1","Defender","SSR"
"Val Walo","1","","1","Defender","SSR"
"AGE-1 02 Assault Jacket","21","","1","Defender","SSR"
"Scorpio","22","","1","Defender","SSR"
"GN Arms Type-E","23","","1","Defender","SSR"
"Cherudim GNHW/R","23","","1","Defender","SSR"
"Beta Azieru","6","","1","Supporter","ULT"
"Throne Eins Turbulenz","23","","1","Supporter","ULT"
"Satan","11","","1","Supporter","SSR"
"SSR Full Armor (Thunderbolt)","7","","1","Supporter","SSR"
"Bertigo","19","","1","Supporter","SSR"
"Gusion Rebake Full City","14","","1","Supporter","SSR"
"FA MK-III","8","","1","Supporter","SSR"
"Shining Gundam (Super Mode)","12","","1","Supporter","SSR"
"SSR Qubeley","8","","1","Supporter","SSR"
"Barbatos Adept","4","","1","Supporter","SSR"
"SSR Calibarn","17","","1","Supporter","SSR"
"AGE-1 Spallow","21","","1","Supporter","SSR"
"G-Xiphos","21","","1","Supporter","SSR"
"Blue Frame Second L","20","","1","Supporter","SSR"
"Arios GNHW/M","23","","1","Supporter","SSR"
"F80 Gunraid","27","","1","Attacker","SSR"
"SSR F91","27","","1","Supporter","SSR"
"Grand Zam","27","","1","Attacker","SSR"
"Gundam F90 II","27","","1","Defender","SSR"
"Berga-Giros (Enhanced Armament)","27","","1","Defender","SSR"
"Vigna-Zirah","27","","1","Defender","ULT"
"SSR F90 A.D.S. Type","27","27","1","Attacker","SSR"
"F90 (Mars Zeon)","27","","1","Attacker","SSR"
"Rafflesia","27","","1","Supporter","SSR"
"SSR Wing Zero EW","22","22","1","Supporter","SSR"
"Guncannon Aqua","26","26","1","Attacker","SSR"
"Grublo","26","26","1","Attacker","SSR"
"SSR Atlas","26","","1","Supporter","SSR"
"Acguy Recon Type","26","","1","Defender","SSR"
"Shamblo","26","","1","Attacker","SSR"
"Reginlaze Julia (Ground Type)","11","","1","Defender","SSR"
"Exia [Trans-Am]","23","","1","Attacker","SSR"
"Stargazer","28","","1","Defender","SSR"
"SSR Tallgeese","28","28","1","Attacker","SSR"
"SR Justice","11","11","1","Attacker","SR"
