stage_id,stage_name,stage_drop_set_id,journal_pool_id,lottery_count,journal_count,pool_entry_count,weight_sum,any_journal_pct,each_journal_pct,rate_model,verification,journal_1,journal_2,journal_3,journal_4
21002001,,3021002001,302100200131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Altron Gundam's Technical Journal,Wing Gundam Zero's Technical Journal,Gundam Deathscythe Hell's Technical Journal,
21900601,,3021900601,302190060105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Deathscythe Hell (EW)'s Technical Journal,Altron Gundam (EW)'s Technical Journal,,
21900701,,3021900701,302190070105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Heavyarms Custom (EW)'s Technical Journal,Gundam Sandrock Custom (EW)'s Technical Journal,,
21900801,,3021900801,302190080105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Wing Gundam Zero (EW)'s Technical Journal,Tallgeese III's Technical Journal,,
23000901,,3023000901,302300090131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Patulia's Technical Journal,Gundam X Divider's Technical Journal,Bertigo's Technical Journal,
23002001,,3023002001,302300200105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Airmaster Burst Technical Journal,Gundam Leopard Destroy Technical Journal,,
23002101,,3023002101,302300210105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Ashtaron Hermit Crab Technical Journal,Gundam Double X Technical Journal,,
23002201,,3023002201,302300220105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Virsago Chest Break Technical Journal,G-Falcon DX Technical Journal,,
30001801,,3030001801,303000180131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Perfect Strike Gundam's Technical Journal,,,
30001901,,3030001901,303000190131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Justice Gundam METEOR's Technical Journal,Freedom Gundam METEOR's Technical Journal,,
30002001,,3030002001,303000200131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Providence Gundam's Technical Journal,,,
31002001,Mobile Suit Gundam SEED Recollection HARD STAGE 1,3031002001,303100200131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Murasame Flight-Capable Test Type's Technical Journal,DRAGOON Strike's Technical Journal,,
33001501,Mobile Suit Gundam SEED Destiny HARD STAGE 1,3033001501,303300150131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Destiny Gundam Technical Journal,Destroy Gundam Technical Journal,Legend Gundam Technical Journal,
33002401,Mobile Suit Gundam SEED Destiny HARD STAGE 2,3033002401,303300240105,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Strike Freedom Gundam Technical Journal,Infinite Justice Gundam Technical Journal,Shiranui Akatsuki Technical Journal,
33002501,Mobile Suit Gundam SEED Destiny HARD STAGE 3,3033002501,303300250105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Strike Freedom Gundam (METEOR) Technical Journal,Infinite Justice Gundam (METEOR) Technical Journal,,
37001201,,3037001201,303700120131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Alvatore's Technical Journal,GN Arms Type-E's Technical Journal,GN Arms Type-D's Technical Journal,
37002601,,3037002601,303700260105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,00 Raiser's Technical Journal,Susanowo's Technical Journal,,
37002701,,3037002701,303700270105,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Arios Gundam GNHW/M's Technical Journal,Seravee Gundam GNHW/B's Technical Journal,0 Gundam Full Armor's Technical Journal,
37002801,,3037002801,303700280105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Cherudim Gundam GNHW/R's Technical Journal,Arche Gundam's Technical Journal,,
37002901,,3037002901,303700290105,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,00 Raiser Final Battle Type's Technical Journal,Regnant's Technical Journal,Reborns Gundam's Technical Journal,
40005001,Mobile Suit Gundam AGE HARD STAGE 1,3040005001,304000500105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam AGE-1 Titus Technical Journal,Gundam AGE-1 Spallow Technical Journal,,
40005101,Mobile Suit Gundam AGE HARD STAGE 2,3040005101,304000510105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Defurse Technical Journal,Gundam AGE-1 02 Assault Jacket Technical Journal,,
40005201,Mobile Suit Gundam AGE HARD STAGE 3,3040005201,304000520105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam AGE-2 Normal Technical Journal,Khronos Technical Journal,,
40005301,Mobile Suit Gundam AGE HARD STAGE 4,3040005301,304000530105,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Zeydra Technical Journal,Gundam AGE-2 Double Bullet Technical Journal,Gundam AGE-2 Artimes Technical Journal,
43001401,,3043001401,304300140131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Graze Ein's Technical Journal,Gundam Gusion Rebake's Technical Journal,Gundam Barbatos 6th Form's Technical Journal,
43002501,,3043002501,304300250131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Hashmal Technical Journal,"Gundam Flauros ""Ryusei-Go"" Technical Journal",,
43002601,,3043002601,304300260131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Gusion Rebake Full City Technical Journal,Gundam Barbatos Lupus Technical Journal,,
43003301,,3043003301,304300330131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Bael Technical Journal,Gundam Kimaris Vidar Technical Journal,,
43003401,,3043003401,304300340131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Barbatos Lupus RexTechnical Journal,Reginlaze Julia (Ground Type) Technical Journal,,
50100801,,3050100801,305010080131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Aerial Rebuild's Technical Journal,Gundam Lfrith Ur's Technical Journal,Gundam Lfrith Thorn's Technical Journal,
50101501,,3050101501,305010150105,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Michaelis (Season 2) Technical Journal,Darilbalde (Season 2) Technical Journal,Gundam Pharact (Season 2) Technical Journal,
50101601,,3050101601,305010160105,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Gundam Calibarn Technical Journal,Gundam Schwarzette Technical Journal,,
8101601,,3008101601,300810160131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Zeta Gundam's Technical Journal,Hyaku Shiki's Technical Journal,,
8101701,,3008101701,300810170131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Psycho Gundam's Technical Journal,,,
8101801,,3008101801,300810180131,1,2,2,2,20.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,The-O's Technical Journal,Qubeley's Technical Journal,,
9501901,,3009501901,300950190131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Full Armor ZZ Gundam's Technical Journal,,,
9502001,,3009502001,300950200131,1,3,3,3,30.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Geymalk's Technical Journal,Zaku III Custom's Technical Journal,Qubeley (ZZ)'s Technical Journal,
9502101,,3009502101,300950210131,1,1,1,1,10.0,10.0,d10 gate: P(any)=wsum×10%; then uniform among journals,Client 0x927AA9C=UI-only (no lottery). Rates: master weight_sum + Kamigame/AppMedia drop tests.,Quin Mantha's Technical Journal,,,
