enum,members,status,website,master,master_fields,master_files,loaded_by_app,master_not_loaded,website_note
CurrencyType,9,MASTER_ONLY,No,Yes,"CurrencyTypeIndex, LineupManualUpdateCurrencyTypeIndex, GashaCurrencyTypeIndex","m_gasha_entry_detail.json, m_shop.json, m_shop_currency_item_generate.json…","-","m_gasha_entry_detail.json, m_shop.json…",""
CustomCoreIconType,4,UNUSED,No,No,"-","-","-","-",""
CustomCoreReleaseFunctionType,8,UNUSED,No,No,"-","-","-","-",""
DestinationType,9,MASTER_ONLY,No,Yes,"DestinationTypeIndex","m_appeal_banner.json","-","m_appeal_banner.json",""
DialogErrorType,52,UNUSED,No,No,"-","-","-","-",""
DialogType,150,UNUSED,No,No,"-","-","-","-",""
DirectionType,5,BOTH,Yes,Yes,"DirectionTypeIndex, InitDirectionTypeIndex","m_league_stage_initial_position_group_set.json, m_map_gimmick_npc.json, m_map_npc.json…","m_map_gimmick_npc.json, m_map_npc.json…","m_league_stage_initial_position_group_set.json","NPC direction"
EnhanceMaterialStageType,5,MASTER_ONLY,No,Yes,"EnhanceMaterialStageTypeIndex","m_enhance_material_stage.json","-","m_enhance_material_stage.json",""
EternalRoadStrategyInfoTabType,5,MASTER_ONLY,No,Yes,"EternalRoadStrategyInfoTabTypeIndex","m_eternal_road_stage_strategy_info.json","-","m_eternal_road_stage_strategy_info.json",""
EventBannerOtherType,4,MASTER_ONLY,No,Yes,"EventBannerOtherTypeIndex","m_event_banner_other.json","-","m_event_banner_other.json",""
EventBonusTargetType,4,MASTER_ONLY,No,Yes,"EventBonusTargetTypeIndex","m_event_bonus.json","-","m_event_bonus.json",""
EventType,10,BOTH,Yes,Yes,"EventTypeIndex, EventBannerOtherTypeIndex, MapEventBuffTraitTypeIndex","m_event.json, m_event_banner_other.json, m_event_bonus.json…","m_map_area.json, m_map_event_panel.json…","m_event.json, m_event_banner_other.json…","name referenced in code"
ExclusiveMaterialDisplayType,6,UNUSED,No,No,"-","-","-","-",""
FavoriteRegistrationType,4,UNUSED,No,No,"-","-","-","-",""
FormChangeType,7,UNUSED,No,No,"-","-","-","-",""
FunctionMaintenanceType,21,UNUSED,No,No,"-","-","-","-",""
FunctionTutorialType,19,MASTER_ONLY,No,Yes,"FunctionTutorialTypeIndex","m_function_tutorial.json","-","m_function_tutorial.json",""
FunctionType,60,BOTH,Yes,Yes,"FunctionTypeIndex, FunctionTutorialTypeIndex, ReleaseFunctionTypeIndex","m_function_tips.json, m_function_tutorial.json, m_game_function_release.json…","m_unit_ssp_custom_core_release_function_set_content.json","m_function_tips.json, m_function_tutorial.json…","name referenced in code"
GameEventConditionType,214,MASTER_ONLY,No,Yes,"GameEventConditionTypeIndex","m_game_event_condition.json","-","m_game_event_condition.json",""
GameFunctionReleaseConditionType,4,UNUSED,No,No,"-","-","-","-",""
GameFunctionType,40,BOTH,Yes,Yes,"GameFunctionTypeIndex","m_game_function_release.json","-","m_game_function_release.json","game function (partial)"
GashaAppealBackgroundType,3,MASTER_ONLY,No,Yes,"GashaAppealBackgroundTypeIndex","m_gasha_appeal_background.json","-","m_gasha_appeal_background.json",""
GashaAppealDescriptionType,4,MASTER_ONLY,No,Yes,"GashaAppealDescriptionTypeIndex","m_gasha_appeal_background.json","-","m_gasha_appeal_background.json",""
GashaContainerDestroyAnimationType,4,MASTER_ONLY,No,Yes,"GashaContainerDestroyAnimationTypeIndex, BonusGashaContainerDestroyAnimationTypeIndex","m_gasha_additional_attack_movie_setting.json, m_gasha_movie_setting.json","-","m_gasha_additional_attack_movie_setting.json, m_gasha_movie_setting.json",""
GashaCurrencyType,6,MASTER_ONLY,No,Yes,"GashaCurrencyTypeIndex","m_gasha_entry_detail.json","-","m_gasha_entry_detail.json",""
GashaDetailDialogTabType,3,UNUSED,No,No,"-","-","-","-",""
GashaEntryActiveControlType,2,UNUSED,No,No,"-","-","-","-",""
GashaEntryTargetLabelType,2,UNUSED,No,No,"-","-","-","-",""
GashaFooterLabelColorType,3,UNUSED,No,No,"-","-","-","-",""
GashaFooterLabelDisplayType,4,UNUSED,No,No,"-","-","-","-",""
GashaLimitCountOverrideType,2,UNUSED,No,No,"-","-","-","-",""
GashaLimitRollCountResetType,3,UNUSED,No,No,"-","-","-","-",""
GashaPointExchangeItemType,3,MASTER_ONLY,No,Yes,"GashaPointExchangeItemTypeIndex","m_gasha_point_exchange_item.json","-","m_gasha_point_exchange_item.json",""
GashaType,6,MASTER_ONLY,No,Yes,"GashaTypeIndex, BonusGashaContainerDestroyAnimationTypeIndex, GashaAppealBackgroundTypeIndex","m_gasha.json, m_gasha_additional_attack_movie_setting.json, m_gasha_appeal_background.json…","-","m_gasha.json, m_gasha_additional_attack_movie_setting.json…",""
GenderType,4,UNUSED,No,No,"-","-","-","-",""
GeneralTutorialType,4,MASTER_ONLY,No,Yes,"GeneralTutorialTypeIndex","m_general_tutorial_idx.json","-","m_general_tutorial_idx.json",""
GiftAcquisitionRouteType,10,UNUSED,No,No,"-","-","-","-",""
GiftDurationType,3,UNUSED,No,No,"-","-","-","-",""
GiftFilterType,18,UNUSED,No,No,"-","-","-","-",""
GiftType,45,UNUSED,No,No,"-","-","-","-",""
GroupDetachmentDestinationCorrectionConditionType,15,UNUSED,No,No,"-","-","-","-",""
GroupFormationCrewType,7,UNUSED,No,No,"-","-","-","-",""
GroupFormationLinkType,2,UNUSED,No,No,"-","-","-","-",""
GroupFormationSortieType,3,UNUSED,No,No,"-","-","-","-",""
GroupFormationType,19,MASTER_ONLY,No,Yes,"GroupFormationTypeIndex","m_group_formation_idx.json","-","m_group_formation_idx.json",""
GroupUnitType,4,MASTER_ONLY,No,Yes,"GroupUnitTypeIndex","m_map_group_npc.json","-","m_map_group_npc.json",""
HelpCategoryType,21,UNUSED,No,No,"-","-","-","-",""
HomeAnimationReleaseType,4,MASTER_ONLY,No,Yes,"HomeAnimationReleaseTypeIndex","m_unit.json","m_unit.json","-",""
HomeBattleMapBackgroundReleaseConditionType,2,UNUSED,No,No,"-","-","-","-",""
HomeUnitStyleReleaseConditionType,3,UNUSED,No,No,"-","-","-","-",""
HomeUnitStyleType,16,MASTER_ONLY,No,Yes,"HomeUnitStyleTypeIndex","m_home_unit_style.json","-","m_home_unit_style.json",""
InfoButtonType,59,MASTER_ONLY,No,Yes,"InfoButtonTypeIndex","m_info_button.json","-","m_info_button.json",""
InformationBlockType,15,UNUSED,No,No,"-","-","-","-",""
InformationCategoryType,11,UNUSED,No,No,"-","-","-","-",""
InformationTabType,5,UNUSED,No,No,"-","-","-","-",""
IngameCoefficientConfigType,56,BOTH,Yes,Yes,"IngameCoefficientConfigTypeIndex","m_ingame_coefficient_config.json","-","m_ingame_coefficient_config.json","mentioned in comments / not loaded"
IngameEventAdditionalConditionParameterType,7,MASTER_ONLY,No,Yes,"IngameEventAdditionalConditionParameterTypeIndex","m_map_stage_additional_condition.json","-","m_map_stage_additional_condition.json",""
IngameEventAdditionalConditionType,8,MASTER_ONLY,No,Yes,"IngameEventAdditionalConditionTypeIndex, IngameEventAdditionalConditionParameterTypeIndex","m_map_stage_additional_condition.json","-","m_map_stage_additional_condition.json",""
IngameEventConditionParameterType,9,MASTER_ONLY,No,Yes,"IngameEventConditionParameterTypeIndex","m_map_area.json, m_map_stage_additional_condition.json","m_map_area.json","m_map_stage_additional_condition.json",""
IngameEventConditionType,14,MASTER_ONLY,No,Yes,"IngameEventConditionTypeIndex, IngameEventConditionParameterTypeIndex","m_map_area.json, m_map_stage_additional_condition.json, m_map_stage_condition.json","m_map_area.json, m_map_stage_condition.json","m_map_stage_additional_condition.json",""
IngameLoseTipsType,6,MASTER_ONLY,No,Yes,"IngameLoseTipsTypeIndex","m_ingame_lose_tips.json","-","m_ingame_lose_tips.json",""
IngameUnitBuffType,7,UNUSED,No,No,"-","-","-","-",""
InitialTutorialApiType,13,MASTER_ONLY,No,Yes,"InitialTutorialApiTypeIndex","m_initial_tutorial_route.json","-","m_initial_tutorial_route.json",""
InitialTutorialStepType,36,UNUSED,No,No,"-","-","-","-",""
InventorySizeExtensionType,3,UNUSED,No,No,"-","-","-","-",""
InventoryType,4,UNUSED,No,No,"-","-","-","-",""
ItemType,34,MASTER_ONLY,No,Yes,"ItemTypeIndex, AcquireItemTypeIndex, GashaPointExchangeItemTypeIndex","m_campaign_effect_target_item_type_set_content.json, m_gasha_point_exchange_item.json, m_item.json…","m_item.json, m_unit_ssp_custom_core.json","m_campaign_effect_target_item_type_set_content.json, m_gasha_point_exchange_item.json…",""
KIdPermissionChangeType,4,UNUSED,No,No,"-","-","-","-",""
KIdPermissionManagementType,4,UNUSED,No,No,"-","-","-","-",""
KIdPermissionNameType,10,UNUSED,No,No,"-","-","-","-",""
LanguageType,7,UNUSED,No,No,"-","-","-","-",""
LeagueBattleResultType,4,UNUSED,No,No,"-","-","-","-",""
LeagueEventBattleResultPlayTimingType,3,UNUSED,No,No,"-","-","-","-",""
LeagueEventCutInPlayTimingType,4,UNUSED,No,No,"-","-","-","-",""
LeagueMotifType,3,UNUSED,No,No,"-","-","-","-",""
LeagueSeasonStartAnimationColorType,6,UNUSED,No,No,"-","-","-","-",""
LeagueSlotType,4,MASTER_ONLY,No,Yes,"LeagueSlotTypeIndex","m_league_matching_group_content.json","-","m_league_matching_group_content.json",""
LoginBonusVisualizationType,3,UNUSED,No,No,"-","-","-","-",""
MainStageSelectMode,2,UNUSED,No,No,"-","-","-","-",""
MaintenanceTimeDisplayType,4,UNUSED,No,No,"-","-","-","-",""
MapChipTraitType,6,UNUSED,No,No,"-","-","-","-",""
MapEventBuffTargetType,3,MASTER_ONLY,No,Yes,"MapEventBuffTargetTypeIndex","m_map_event_panel_buff_rule.json","-","m_map_event_panel_buff_rule.json",""
MapEventBuffTraitType,28,MASTER_ONLY,No,Yes,"MapEventBuffTraitTypeIndex","m_map_event_panel_trait_rule_set_content.json, m_map_event_panel_trait_set_content.json","-","m_map_event_panel_trait_rule_set_content.json, m_map_event_panel_trait_set_content.json",""
MapEventNaviCharacterFocusPanelQuoteType,5,MASTER_ONLY,No,Yes,"MapEventNaviCharacterFocusPanelQuoteTypeIndex","m_map_event_navi_character_focus_panel.json","-","m_map_event_navi_character_focus_panel.json",""
MapEventPanelConditionType,3,MASTER_ONLY,No,Yes,"MapEventPanelConditionTypeIndex","m_map_event_partner_quote.json","-","m_map_event_partner_quote.json",""
MapEventPanelType,16,BOTH,Yes,Yes,"MapEventPanelTypeIndex, MapEventPanelConditionTypeIndex","m_map_event_panel.json, m_map_event_partner_quote.json","m_map_event_panel.json","m_map_event_partner_quote.json","map event panel"
MapEventPartnerQuoteTimingType,8,MASTER_ONLY,No,Yes,"MapEventPartnerQuoteTimingTypeIndex","m_map_event_partner_quote.json","-","m_map_event_partner_quote.json",""
MapEventPartnerUnitCompleteUnlockType,2,MASTER_ONLY,No,Yes,"MapEventPartnerUnitCompleteUnlockTypeIndex","m_map_event_partner_unit_complete_unlock.json","-","m_map_event_partner_unit_complete_unlock.json",""
MapEventScoreAttackStageEvaluationTargetType,5,UNUSED,No,No,"-","-","-","-",""
MapEventScoreAttackStageEvaluationType,6,UNUSED,No,No,"-","-","-","-",""
MapGroupType,2,MASTER_ONLY,No,Yes,"MapGroupTypeIndex","m_map_group.json","-","m_map_group.json",""
MapNPCAIType,3,UNUSED,No,No,"-","-","-","-",""
MapNpcStrategyHintType,11,UNUSED,No,No,"-","-","-","-",""
MapStageConditionType,6,BOTH,Yes,Yes,"MapStageConditionTypeIndex","m_map_stage_condition.json","m_map_stage_condition.json","-","map stage conditions"
MapWeaponRangeType,7,BOTH,Yes,Yes,"MapWeaponRangeTypeIndex","m_weapon.json","m_weapon.json","-","MAP weapon filter"
MapWeaponTraitCategoryType,3,MASTER_ONLY,No,Yes,"MapWeaponTraitCategoryTypeIndex","m_weapon.json","m_weapon.json","-",""
MasterLeagueBattleResultSideType,3,UNUSED,No,No,"-","-","-","-",""
MasterLeagueBattleResultType,4,UNUSED,No,No,"-","-","-","-",""
MasterLeagueBuffTargetType,3,UNUSED,No,No,"-","-","-","-",""
MasterLeagueIngameInitialPositionType,5,UNUSED,No,No,"-","-","-","-",""
MasterLeagueOutgameCutInPlayTimingType,7,UNUSED,No,No,"-","-","-","-",""
MasterLeaguePlayerSideType,3,UNUSED,No,No,"-","-","-","-",""
MasterLeagueRankChangeType,5,UNUSED,No,No,"-","-","-","-",""
MasterLeagueRankType,7,UNUSED,No,No,"-","-","-","-",""
MasterLeagueScoreRatingType,6,UNUSED,No,No,"-","-","-","-",""
MechanismType,6,BOTH,Yes,Yes,"MechanismTypeIndex","m_mechanism.json","m_mechanism.json","-","MECH_MAP / mechanism display"
MissionCategoryType,5,MASTER_ONLY,No,Yes,"MissionCategoryTypeIndex","m_mission.json","-","m_mission.json",""
MissionGroupCategoryType,6,MASTER_ONLY,No,Yes,"MissionGroupCategoryTypeIndex","m_mission_group.json","-","m_mission_group.json",""
MissionResetType,3,MASTER_ONLY,No,Yes,"MissionResetTypeIndex","m_mission_group.json","-","m_mission_group.json",""
MvpType,4,UNUSED,No,No,"-","-","-","-",""
MybaseAdditionalAssetType,6,MASTER_ONLY,No,Yes,"MybaseAdditionalAssetTypeIndex","m_mybase_additional_asset_resource_set_content.json","-","m_mybase_additional_asset_resource_set_content.json",""
NavigationCharacterDisplayType,4,UNUSED,No,No,"-","-","-","-",""
NavigationCharacterMotionType,9,UNUSED,No,No,"-","-","-","-",""
NavigationCharacterSetType,3,UNUSED,No,No,"-","-","-","-",""
NgWordLanguageType,6,UNUSED,No,No,"-","-","-","-",""
OsType,4,MASTER_ONLY,No,Yes,"OsTypeIndex","m_transition_web.json","-","m_transition_web.json",""
OverrideBoolType,3,UNUSED,No,No,"-","-","-","-",""
PaymentShopItemUpdateCycleType,4,UNUSED,No,No,"-","-","-","-",""
PaymentShopLinkPlatformType,4,UNUSED,No,No,"-","-","-","-",""
PaymentShopType,5,MASTER_ONLY,No,Yes,"PaymentShopTypeIndex","m_payment_shop_item.json","-","m_payment_shop_item.json",""
PlatformDeviceType,4,UNUSED,No,No,"-","-","-","-",""
ProfileTitleRarityType,6,MASTER_ONLY,No,Yes,"ProfileTitleRarityTypeIndex","m_profile_title.json","m_profile_title.json","-",""
ProfileTitleType,3,MASTER_ONLY,No,Yes,"ProfileTitleTypeIndex, ProfileTitleRarityTypeIndex","m_profile_title.json","m_profile_title.json","-",""
QuestSecretConditionType,5,UNUSED,No,No,"-","-","-","-",""
RarityType,6,BOTH,Yes,Yes,"RarityTypeIndex, ProfileTitleRarityTypeIndex, TreasureChestRarityTypeIndex","m_campaign_effect_target_rarity_type_set_content.json, m_character.json, m_character_rarity_max_level.json…","m_character.json, m_character_skill.json…","m_campaign_effect_target_rarity_type_set_content.json, m_character_rarity_max_level.json…","RARITY_MAP"
RequiredTensionType,6,UNUSED,No,No,"-","-","-","-",""
ResearchTechnologyOriginType,3,UNUSED,No,No,"-","-","-","-",""
RewardReasonType,62,UNUSED,No,No,"-","-","-","-",""
RewardType,24,BOTH,Yes,Yes,"RewardTypeIndex","m_gasha_content_detail.json, m_payment_shop_item_set_image.json, m_reward.json","m_reward.json","m_gasha_content_detail.json, m_payment_shop_item_set_image.json","reward resolution"
RoleType,4,BOTH,Yes,Yes,"RoleTypeIndex, TargetUnitRoleTypeIndex","m_character.json, m_character_skill_trait.json, m_unit.json","m_character.json, m_character_skill_trait.json…","-","name referenced in code"
SalesAppealDisplaySourceType,5,MASTER_ONLY,No,Yes,"SalesAppealDisplaySourceTypeIndex","m_sales_appeal_display_source_set_content.json","-","m_sales_appeal_display_source_set_content.json",""
SalesAppealTargetType,4,MASTER_ONLY,No,Yes,"SalesAppealTargetTypeIndex","m_sales_appeal.json","-","m_sales_appeal.json",""
ScenarioStageStoryPlayTimingType,3,UNUSED,No,No,"-","-","-","-",""
ScreenType,69,UNUSED,No,No,"-","-","-","-",""
SdStageSkipAnimationBackGroundType,4,MASTER_ONLY,No,Yes,"SdStageSkipAnimationBackGroundTypeIndex","m_stage.json","m_stage.json","-",""
ServerConfigType,2,UNUSED,No,No,"-","-","-","-",""
ShopItemLabelType,5,UNUSED,No,No,"-","-","-","-",""
ShopItemUpdateCycleType,5,UNUSED,No,No,"-","-","-","-",""
ShopType,10,MASTER_ONLY,No,Yes,"ShopTypeIndex, PaymentShopTypeIndex","m_payment_shop_item.json, m_shop.json","-","m_payment_shop_item.json, m_shop.json",""
SizeType,9,MASTER_ONLY,No,Yes,"SizeTypeIndex","m_occupied_area.json","-","m_occupied_area.json",""
SkillTargetType,3,UNUSED,No,No,"-","-","-","-",""
SkillType,4,MASTER_ONLY,No,Yes,"AiUseSkillTypeIndex","m_map_npc_ai.json, m_map_npc_ai_preset.json, m_map_stage_own_ai.json","-","m_map_npc_ai.json, m_map_npc_ai_preset.json…",""
SortieRestrictionTargetType,4,BOTH,Yes,Yes,"SortieRestrictionTargetTypeIndex","m_stage_sortie_restriction_set.json, m_stage_sortie_restriction_set_content.json","m_stage_sortie_restriction_set_content.json","m_stage_sortie_restriction_set.json","sortie restrictions"
SortieRestrictionType,4,BOTH,Yes,Yes,"SortieRestrictionTypeIndex, SortieRestrictionTargetTypeIndex","m_stage_sortie_restriction.json, m_stage_sortie_restriction_set.json, m_stage_sortie_restriction_set_content.json…","m_stage_sortie_restriction_set_content.json, m_stage_sortie_restriction_set_group_content.json","m_stage_sortie_restriction.json, m_stage_sortie_restriction_set.json","sortie restrictions"
SortieTerrainType,6,BOTH,Yes,Yes,"SortieTerrainTypeIndex, RecommendedSortieTerrainTypeIndex","m_stage.json, m_stage_recommended_sortie_terrain_type.json","m_stage.json, m_stage_recommended_sortie_terrain_type.json","-","name referenced in code"
SpecializeTargetType,6,UNUSED,No,No,"-","-","-","-",""
StageActionPointConsumeType,4,UNUSED,No,No,"-","-","-","-",""
StageAdditionalDisplayType,2,MASTER_ONLY,No,Yes,"StageAdditionalDisplayTypeIndex","m_scenario_stage.json","-","m_scenario_stage.json",""
StageBattleAdditionalConditionType,8,UNUSED,No,No,"-","-","-","-",""
StageBattleConditionCategoryType,6,UNUSED,No,No,"-","-","-","-",""
StageBattleConditionParameterType,9,UNUSED,No,No,"-","-","-","-",""
StageBattleMainConditionType,24,UNUSED,No,No,"-","-","-","-",""
StageCategoryType,5,MASTER_ONLY,No,Yes,"StageCategoryTypeIndex","m_stage.json","m_stage.json","-",""
StageDifficultyType,9,BOTH,Yes,Yes,"StageDifficultyTypeIndex","m_enhance_material_stage.json, m_eternal_road_stage.json, m_invasion_event_stage.json…","m_eternal_road_stage.json, m_map_stage.json","m_enhance_material_stage.json, m_invasion_event_stage.json…","STAGE_DIFFICULTY"
StageEventAreaSkillTraitType,4,UNUSED,No,No,"-","-","-","-",""
StageResultType,6,UNUSED,No,No,"-","-","-","-",""
StageScoreEvaluationType,6,BOTH,Yes,Yes,"StageScoreEvaluationTypeIndex","m_stage_score_evaluation_percent.json","m_stage_score_evaluation_percent.json","-","name referenced in code"
StageTerrainType,6,BOTH,Yes,Yes,"StageTerrainTypeIndex","m_stage.json, m_stage_recommended_sortie_terrain_type.json","m_stage.json, m_stage_recommended_sortie_terrain_type.json","-","stage terrain"
StageType,18,BOTH,Yes,Yes,"StageTypeIndex, SdStageSkipAnimationBackGroundTypeIndex, EnhanceMaterialStageTypeIndex","m_enhance_material_stage.json, m_eternal_road_stage.json, m_invasion_event_stage.json…","m_eternal_road_stage.json, m_map_stage.json…","m_enhance_material_stage.json, m_invasion_event_stage.json…","name referenced in code"
StoreType,5,MASTER_ONLY,No,Yes,"StoreTypeIndex","m_store_product.json, m_webstore_payment_shop_item_additional_content.json","-","m_store_product.json, m_webstore_payment_shop_item_additional_content.json",""
StoryEventBossDifficultyType,5,MASTER_ONLY,No,Yes,"StoryEventBossDifficultyTypeIndex","m_story_event_boss_stage.json, m_story_event_boss_stage_difficulty.json","-","m_story_event_boss_stage.json, m_story_event_boss_stage_difficulty.json",""
StoryEventBossStageStatusType,4,UNUSED,No,No,"-","-","-","-",""
StoryEventBromideInDirectionType,3,UNUSED,No,No,"-","-","-","-",""
StoryEventMedalGashaViewType,4,UNUSED,No,No,"-","-","-","-",""
SubscriptionCommonDescriptionType,10,MASTER_ONLY,No,Yes,"SubscriptionCommonDescriptionTypeIndex","m_payment_shop_item_subscription_common_description.json, m_payment_shop_item_subscription_common_info.json","-","m_payment_shop_item_subscription_common_description.json, m_payment_shop_item_subscription_common_info.json",""
SubscriptionStatusType,5,UNUSED,No,No,"-","-","-","-",""
SupporterAcquisitionRouteType,3,BOTH,Yes,Yes,"SupporterAcquisitionRouteTypeIndex","m_supporter.json","m_supporter.json","-","supporter acquisition route"
SupporterActiveSkillRangeType,3,UNUSED,No,No,"-","-","-","-",""
SupporterActiveSkillTraitType,11,UNUSED,No,No,"-","-","-","-",""
SupporterLeaderSkillTraitType,11,WEBSITE_ONLY,Yes,No,"-","-","-","-","supporter leader skills"
SuspendType,5,UNUSED,No,No,"-","-","-","-",""
TacticalTrainingType,3,MASTER_ONLY,No,Yes,"TacticalTrainingTypeIndex","m_tactical_training_stage.json","-","m_tactical_training_stage.json",""
TargetAreaType,3,BOTH,Yes,Yes,"TargetAreaTypeIndex","m_map_area.json","m_map_area.json","-","name referenced in code"
TargetUserType,4,MASTER_ONLY,No,Yes,"TargetUserTypeIndex, CampaignTargetUserTypeIndex","m_campaign.json, m_login_bonus.json","-","m_campaign.json, m_login_bonus.json",""
TensionType,6,BOTH,Yes,Yes,"TensionTypeIndex","m_weapon.json","m_weapon.json","-","name referenced in code"
TerrainCapabilityType,4,BOTH,Yes,Yes,"TerrainCapabilityTypeIndex","m_map_npc_unit_terrain_capability_extension.json, m_terrain_capability_correction.json","m_map_npc_unit_terrain_capability_extension.json","m_terrain_capability_correction.json","terrain capability"
